,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plate,information
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,"""=""""""""""",14.41,21.78,21.81,48.3,48.1,22.07,21.99,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/26/2023,4,53,25,PM,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,12,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
8480,9160,8600,9480,9440,9360,8320,8800,8840,9520,9560,9720,9200,9520,9280,9600,9360,8320,8920,10320,8400,8400,600,67800,,,,,,,,,,,,
8880,8520,9000,8800,8600,9200,9040,8520,8800,8160,9280,8560,9200,7840,8800,7680,8480,7640,8160,7560,8400,7240,640,59800,,,,,,,,,,,,
8240,9120,8640,9080,8600,8080,7440,7840,8320,7920,7800,8440,8440,8160,7320,7680,10920,7640,8160,7760,21440,8040,1280,68000,,,,,,,,,,,,
8880,8000,8480,8600,8960,9080,9200,8440,9080,8600,9240,9160,9200,8920,8960,8480,9080,8600,8080,7840,9600,8040,1000,58240,,,,,,,,,,,,
8680,9080,8760,9240,9960,9960,8720,8880,8560,9600,8960,8600,9120,8800,8840,8800,7760,8480,8520,8400,7640,7560,760,73520,,,,,,,,,,,,
9280,8320,8840,9360,9560,9360,8640,8120,9880,8600,9160,9400,9280,8520,8760,9160,8960,9400,8840,8040,8560,7480,1040,59760,,,,,,,,,,,,
8800,8640,8480,8760,8960,9880,9440,9440,9440,10320,9200,10560,10000,10040,10120,9720,9760,10160,9680,8920,8080,9040,680,69960,,,,,,,,,,,,
9400,8160,9240,8560,9760,8760,9400,8800,9960,9520,9640,8680,8920,8400,8760,8200,9080,9000,8720,8440,8160,7640,800,65000,,,,,,,,,,,,
8680,9360,9280,8880,9360,10080,9240,10000,9320,9520,9720,9720,9400,9440,9480,9120,8800,10120,8520,9040,8440,8880,680,64000,,,,,,,,,,,,
8360,8840,10520,8240,8600,8920,9080,8600,9160,8920,9480,8720,9840,9120,9760,8600,8720,8680,9520,8400,9200,8080,760,64400,,,,,,,,,,,,
8640,8760,8600,9400,8440,8720,8600,9200,8160,9600,8880,8920,9240,8880,8360,8480,8720,8440,9000,9040,8600,9000,760,67520,,,,,,,,,,,,
8480,8680,9160,8400,9320,8800,9160,8080,8880,8760,8640,7880,6600,8280,8400,8240,8760,7920,8960,7680,9320,8200,800,61840,,,,,,,,,,,,
7400,8720,8600,8120,8680,8720,8200,10040,8560,8400,7640,8400,7960,8720,9120,9280,8200,8440,8160,8480,8320,8120,760,75600,,,,,,,,,,,,
7680,8200,8680,7920,8720,8280,8640,8520,8280,8560,9280,8280,9120,8040,8480,7760,8920,8120,8680,8120,7840,7440,680,64160,,,,,,,,,,,,
7240,8160,7960,9320,8440,21880,9240,9200,8880,9080,8320,9320,8400,8880,8040,8680,8480,7920,7600,8480,7320,7520,800,75120,,,,,,,,,,,,
7360,6920,7960,7520,8200,7840,8040,7760,7840,7640,7680,7280,8320,7640,8200,6960,6920,7720,7640,7640,7360,7400,800,74480,,,,,,,,,,,,
Basic,assay,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,ID,,,,,,2785,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Started,,,,,,7/26/2023,4,51,28,PM,,,,,,,,,,,,,,,,,,,,,,,,
