,Unnamed: 0.1,Unnamed: 0,Unnamed: 1,Unnamed,Unnamed: 3,0,Unnamed.1,Unnamed: 6,1,Unnamed.2,Unnamed: 9,2,Unnamed.3,Unnamed: 12,3,Unnamed.4,Unnamed: 15,4,Unnamed.5,Unnamed: 18,5,Unnamed.6,Unnamed: 21,6,Unnamed.7,Unnamed: 24,7,Unnamed.8,Unnamed: 27,8,Unnamed.9,Unnamed: 30,9,Unnamed.10,Unnamed: 33,10,Unnamed.11,Unnamed: 36,11,Unnamed.12,Unnamed: 39,12,Unnamed.13,Unnamed: 42,13,Unnamed.14,Unnamed: 45,14,Unnamed.15,Unnamed: 48,15,Unnamed.16,Unnamed: 51,16,Unnamed.17,Unnamed: 54,17,Unnamed.18,Unnamed: 57,18,Unnamed.19,Unnamed: 60,19,Unnamed.20,Unnamed: 63,20,Unnamed.21,Unnamed: 66,21,Unnamed.22,Unnamed: 69,22,Unnamed.23,Unnamed: 72,23,Unnamed.24,Unnamed: 75,24
0,0,Plate,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,A,-0.18887405673884242,-0.10688669393589048,-0.19233831150516434,-0.13460073206646578,-0.13921973842156168,-0.14152924159910962,-0.09072017169305503,-0.16000526701949327,0.5178339155908273,-0.09072017169305503,0.0513142737261433,-0.015661318422746817,-0.0006495477686857389,-0.01797082160029498,-0.08263691057163759,0.003969458586410492,0.14253964923928697,0.17949170008005427,0.25801480811668426,0.2083604897994034,0.3630972026951153,0.45547732979703276,-0.5179782595394244,4.885104424333986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,B,-0.08263691057163712,-0.16808852814091094,-0.20273107580413008,-0.3020397124386916,-0.0941844264593768,-0.17270753449600684,-0.1831002987949731,-0.17963604402865127,-0.19580256627148676,-0.1392197384215622,-0.19695731786026047,-0.09533917804815126,-0.10804144552466494,-0.07108939468389763,-0.18194554720619874,-0.02258982795539121,-0.04914911449719225,-0.03760159860945229,0.0339929998945334,-0.02143507636661675,-0.06300613356247962,0.0005052038200887194,-0.5237520174832944,4.586023762841528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,C,0.3654067058726636,-0.1634695217858151,-0.29511120290604775,-0.19926682103780816,-0.24776638776631496,-0.2339093687010273,-0.1553862606643977,-0.15076725430930146,-0.17617178926232877,-0.19233831150516495,-0.19233831150516495,-0.19580256627148676,-0.14152924159910962,-0.10457719075834307,-0.16116001860826767,-0.17848129243987687,-0.15423150907562327,0.7129869340936283,0.0247549871843416,-0.11496995505730861,-0.09533917804815126,-0.11958896141240419,-0.5272162722496162,3.980933930323967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,D,-0.20504057898167802,-0.20504057898167802,-0.19811206944903417,-0.23621887187857524,-0.21658809486941774,-0.2096595853367739,-0.4163601197273151,-0.245456884588767,-0.18656455356129498,-0.21774284645819225,-0.20619533057045233,-0.27432567430811683,0.0339929998945334,-0.2558496488877332,-0.29511120290604786,-0.12536271935627413,-0.15192200589807583,-0.16462427337458949,-0.1634695217858151,-0.1576957638419458,-0.13575548365524034,-0.14152924159910962,-0.5237520174832944,4.253455305274624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,E,-0.18079079561742464,-0.245456884588767,-0.24661163617754098,-0.2512306425326369,-0.24661163617754098,-0.325134744214171,-0.19811206944903423,-0.270861419541795,-0.20504057898167857,-0.3147419799152059,-0.07801790421654137,-0.24892113935508953,-0.2373736234673496,-0.22467135599083593,-0.1900288083276168,-0.19233831150516495,-0.1334459804776922,-0.43252664197015067,-0.2962659544948223,-0.3736343109426779,-0.20619533057045233,-0.245456884588767,-0.5225972658945206,4.840069112371801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
