,Unnamed: 0.1,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Plate,information
0,0,Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,1,1,"""""""=""""""""""""""""""""""",14.57,22.96,22.89,40,40.7,23.25,23.37,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/7/2023,6,18,28,PM,,,,,,,
2,2,Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,1,Pingping,US,LUM,384,(cps),0,200,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
5,5,Results,for,Pingping,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,
6,6,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,
7,7,A,-0.031751611934545315,-0.09478546347246009,-0.0685960433232159,-0.14895673556823524,-0.12097488362170439,-0.10374762245889356,-0.03931965730086693,-0.17285582619872425,-0.1653873603766965,-0.19386711004469584,-0.08442919086591488,0.03626121681805461,-0.1487575764796479,-0.11509969050837582,-0.15881511045331193,-0.04778391856583176,-0.10842786104069763,-0.024283146112517535,-0.3321830970686511,0.01066927393457267,-0.044099475426964733,-0.18858939419712953,-0.9114373062251288,2.6823884473346578,,,,,,,,,,,
8,8,B,-0.13431854255706074,-0.13660887207581593,-0.1567239400231442,-0.019702487075007186,-0.101556872484432,-0.4146349597438382,-0.11161440645809613,-0.08751615673901976,-0.18779275784277993,-0.17962723521069618,-0.11280936098962063,-0.05614860028650286,-0.07198174782920184,-0.1385008834173963,-0.3592687331165386,-0.2799038363144563,-0.23359934821788386,-0.19675491682921328,-0.1443760765307249,-0.26138204107582735,-0.21109437120750668,-0.21726830295371635,-0.8758874089122762,5.475495085228768,,,,,,,,,,,
9,9,C,-0.12694965627932658,-0.04788349811012548,-0.03663100960493684,-0.009545373557049324,0.010768853478866396,-0.030656236947314643,-0.14666640604948006,-0.06282042975418103,-0.06899436150039069,-0.10285140656025023,-0.11231146326815211,-0.17893017840064018,-0.08861153172625044,-0.1079299633192291,-0.05087088443893653,-0.18042387156504577,-0.15771973546608126,-0.08164096362569119,-0.2659627001133377,-0.13660887207581593,-0.2562039047725548,-0.1698684398699131,-0.9063587494661497,3.135276214782425,,,,,,,,,,,
10,10,D,-0.05694523664085257,-0.05804061162808324,-0.4729885726999489,-0.04768433902153803,-0.07686114549959339,-0.14895673556823524,-0.06501117972864259,-0.16966928078132576,-0.08323423633439049,-0.219060734751003,-0.14666640604948006,-0.19675491682921328,-0.08681909992896379,-0.13591181526575996,-0.12027782681164842,-0.1575205763774938,-0.1547323491372701,-0.18669738285554915,-0.1587155309090183,-0.05136878216040506,-0.18500453060255623,-0.23588967773663905,-0.8669252499258429,6.851883546456348,,,,,,,,,,,
