Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Plate,information
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,"""""""=""""""""""""""""""""""",14.51,21.29,21.41,43.9,43.9,21.67,21.7,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/7/2023,4,21,34,PM,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,12,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
Results,for,Pingping,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,
A,7800,8560,7560,8520,7480,8440,8000,8320,8160,7160,8360,7880,7400,8520,7600,7960,7320,7680,7360,7600,7120,7920,840,53000,,,,,,,,,,,
B,8000,7920,7920,7520,8400,8040,8720,7480,8040,7920,7600,7400,8240,7400,8120,7400,7840,7400,7560,7640,7760,7120,720,44200,,,,,,,,,,,
C,7720,8440,7800,8000,8280,8240,7880,8280,8160,7800,7680,6760,7960,8080,8040,8200,7600,7400,7800,7920,7280,7800,720,52440,,,,,,,,,,,
D,8320,8000,8040,7960,8280,7720,8320,7040,8160,7800,7760,7760,8240,8040,8280,7560,8040,7560,8160,7280,8200,7280,800,47000,,,,,,,,,,,
E,8160,8000,7960,8000,7840,8120,7560,7480,7240,7880,6960,7720,8400,8240,7200,7760,7840,7840,7480,7640,7240,7920,760,53760,,,,,,,,,,,
F,8360,7120,7960,7480,8040,7800,7600,7520,7720,8120,8120,7720,8400,8080,7920,7840,7960,7680,8040,7640,8200,7160,600,44440,,,,,,,,,,,
G,7800,8200,7600,7680,7640,8960,7760,7480,7880,8080,7720,7920,7560,8400,7200,8320,7960,7600,7320,7640,6920,7680,800,53920,,,,,,,,,,,
H,7960,7440,8080,7480,7920,7360,8120,7320,8000,7800,7960,7880,7280,7240,7760,7520,7720,7280,7680,7920,8080,7120,640,46480,,,,,,,,,,,
I,7360,8480,7720,8280,3680,7880,7600,7520,7200,7800,8000,8280,7280,7680,7560,7920,7120,7720,7160,7920,7240,7920,680,51160,,,,,,,,,,,
J,8160,7760,8120,7320,8320,9800,8640,7080,7960,7160,7920,7480,8200,7360,7600,7640,8080,7480,8280,7400,7920,7400,480,45080,,,,,,,,,,,
K,8040,7960,7400,7960,8120,8040,7960,8040,7560,7720,7520,8040,7400,7880,7560,8120,7680,8000,7760,7520,7560,7760,600,49320,,,,,,,,,,,
L,7680,7760,7320,7360,8120,7400,7920,7480,7640,7640,9440,7440,8080,7840,7680,7520,8000,6840,7720,7440,7400,7440,800,43120,,,,,,,,,,,
