Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Plate,information
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,"""""""=""""""""""""""""""""""",14.51,22.57,22.4,42.2,42.2,22.66,22.58,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/7/2023,3,54,13,PM,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,4,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
Results,for,Pingping,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,
A,7040,7560,6840,7360,7360,7240,7320,7400,6960,7200,7480,7720,7520,7440,7600,8400,7560,8000,8200,8360,7520,8000,840,50920,,,,,,,,,,,
B,6920,7520,6880,6560,7400,6920,7320,6720,7360,7680,7160,6720,7920,7360,7280,4280,7640,7720,7640,7400,8120,7440,1000,45240,,,,,,,,,,,
C,7320,7720,7720,7720,6880,7440,7480,6960,7200,6960,7080,7760,7360,7400,7200,7680,7320,7160,7800,7160,7600,7440,1080,51080,,,,,,,,,,,
D,7640,6640,7800,10520,7200,6960,7560,7200,7440,7200,8280,7480,7080,7000,6400,7240,7520,7400,7840,7400,7200,7040,1000,43920,,,,,,,,,,,
E,7440,7400,7480,6840,7240,7400,7520,7600,6440,7400,7320,7840,6920,7680,7000,7280,7760,7640,7040,7040,6800,7640,1120,50520,,,,,,,,,,,
F,7800,7280,7280,6720,7440,6560,7600,7000,7560,7360,7040,6920,7920,7280,7520,7480,7240,6840,7520,7640,7160,6600,880,43320,,,,,,,,,,,
G,7960,7520,25240,7040,7440,7520,6920,7240,6960,7600,7520,7920,7120,7200,6800,7080,7320,6760,7400,7760,6720,7320,960,52400,,,,,,,,,,,
H,7560,7520,7600,6720,7080,7160,7280,7160,7040,7000,7920,6600,7320,7400,7680,7000,6880,6800,7440,7160,7320,6880,1080,45760,,,,,,,,,,,
I,7360,7480,7760,7320,6600,7280,7480,6840,6920,7240,7840,6440,7800,8080,7480,7680,6800,7920,7360,7560,7600,7200,920,52200,,,,,,,,,,,
J,8080,7560,7720,6960,7760,7280,7680,7000,7320,6800,7440,6920,8160,7240,7640,7600,7920,6960,7760,6960,7600,6800,920,49720,,,,,,,,,,,
K,7280,7920,7200,7880,7320,8200,7240,7440,7520,7280,7280,7760,7080,7600,9600,7520,7880,7480,6760,7240,6760,7720,1080,57880,,,,,,,,,,,
L,8080,7240,7600,7160,7960,7160,7600,7080,6880,6920,7440,8280,7200,7440,8200,7800,7760,7320,6960,7640,8160,6920,760,46400,,,,,,,,,,,
M,7080,7200,5480,7720,6920,7680,7280,7200,7080,8000,7040,7640,8120,6160,7280,7640,6920,7440,7160,7400,7800,6880,960,51840,,,,,,,,,,,
N,7520,6840,7440,7360,7360,7440,7880,7240,7240,7080,7720,7320,7840,6600,7120,7400,7880,7800,7880,7200,8240,6920,1000,48040,,,,,,,,,,,
O,7360,7160,7080,7240,6920,7560,7040,6920,7240,7480,6920,7800,7200,8000,6880,7960,7200,7680,7360,7920,6960,7240,1040,56600,,,,,,,,,,,
P,7200,6960,7320,6880,7400,7280,7800,7040,7320,6880,7560,7000,7560,7040,7560,7040,7760,7320,8040,7560,8080,7040,960,50480,,,,,,,,,,,
Basic,assay,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,ID,,,,,,2634,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Started,,,,,,7/7/2023,3,52,41,PM,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Finished,,,,,,7/7/2023,3,54,28,PM,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Exported,,,,,,7/7/2023,3,54,28,PM,,,,,,,,,,,,,,,,,,,,,,,,
Protocol,ID,,,,,,100188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol,Name,,,,,,test,384,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial#,,,,,,"""=""""1040181""""""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
