,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plate,information
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,"""=""""""""""",14.41,21.98,22.2,48.9,49.6,22.26,21.89,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/26/2023,3,58,04,PM,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,12,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
9920,10440,10320,10800,10680,10160,10280,11400,10920,11480,10840,11400,11160,11400,9960,10280,10560,10840,9920,10240,10040,10560,760,90680,,,,,,,,,,,,
12200,12160,12240,11640,13040,12240,13800,13280,14400,12400,13160,12480,12200,11200,11600,11080,11080,10080,10240,10240,9640,8040,880,60920,,,,,,,,,,,,
10200,10200,9240,10040,10640,11440,11880,12080,12200,12160,12000,11440,11680,11480,10560,9560,10320,10560,9640,10640,9800,10560,640,84840,,,,,,,,,,,,
10000,10800,11520,11880,12600,12240,8720,12360,13760,11360,12120,11640,11280,11000,11520,11400,11920,10240,11080,10200,9280,8960,920,73920,,,,,,,,,,,,
10760,10360,10360,10680,10160,9720,11680,11680,11440,10920,11680,11480,11440,10760,11120,12200,8680,8440,9840,9080,10920,9840,1160,90360,,,,,,,,,,,,
12440,10800,11760,11240,13200,12040,13520,10880,9840,12720,13920,11800,13880,12960,13280,10560,12480,11600,11080,10680,11760,10120,1160,73560,,,,,,,,,,,,
9440,10560,9840,10880,8040,12400,11680,11640,37720,11320,12280,11440,12120,9000,11320,12440,9080,11640,10400,11520,10520,10800,840,95040,,,,,,,,,,,,
11280,10840,11480,11160,11880,8480,12760,11640,13040,8720,13360,12600,11080,12800,13920,12680,11880,11960,12240,10280,10800,9680,1160,77560,,,,,,,,,,,,
10200,10840,10120,10960,10800,11160,10960,11920,12080,11520,11800,12040,11000,11880,11920,12600,12320,12040,11680,9960,11000,9240,800,86440,,,,,,,,,,,,
10360,10560,11000,10120,11760,11000,11960,11720,12000,11600,11360,11360,13040,9640,14400,11920,12120,12800,14200,9440,11080,8760,1240,73200,,,,,,,,,,,,
9720,10440,9480,10080,8840,10880,12120,8880,11240,11960,11560,11640,9200,12400,10960,12200,10640,12120,10520,12160,10360,9960,840,93360,,,,,,,,,,,,
9880,8920,9760,10360,10960,9160,8360,9600,11360,10080,10200,9800,10680,9800,10640,10680,10320,14480,11720,10520,10200,10040,1120,74680,,,,,,,,,,,,
8080,9520,8960,8800,10320,9600,10680,11400,10280,10880,10760,11960,10960,10480,11240,11160,11280,11280,11320,11520,10840,11360,640,92000,,,,,,,,,,,,
9880,9880,10520,9880,10120,9840,10440,10840,11360,14200,10080,8880,10280,8680,9960,8880,9680,8840,10480,8560,10040,9040,1160,83840,,,,,,,,,,,,
8280,9360,8600,9400,8160,9800,9720,11880,9840,11320,8920,11040,11120,11720,10520,11040,9440,11000,10560,10440,10200,10760,720,91280,,,,,,,,,,,,
9520,9640,10520,8880,9240,8520,9800,9440,9000,8480,9080,8680,9520,8680,9760,8840,9040,7600,9960,9600,10080,8560,1200,88960,,,,,,,,,,,,
Basic,assay,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,ID,,,,,,2773,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Started,,,,,,7/26/2023,3,56,32,PM,,,,,,,,,,,,,,,,,,,,,,,,
