,Unnamed: 0,Unnamed,Unnamed: 2,0,Unnamed.34,Unnamed.35,Unnamed: 6,2,0.1,Unnamed.1,Unnamed.36,Unnamed: 11,5,1,Unnamed.2,Unnamed.37,Unnamed: 16,8,2.1,Unnamed.3,Unnamed.38,Unnamed: 21,11,3,Unnamed.4,Unnamed.39,Unnamed: 26,14,4,Unnamed.5,Unnamed.40,Unnamed: 31,17,5.1,Unnamed.6,Unnamed.41,Unnamed: 36,20,6,Unnamed.7,Unnamed.42,Unnamed: 41,23,7,Unnamed.8,Unnamed.43,Unnamed: 46,26,8.1,Unnamed.9,Unnamed.44,Unnamed: 51,29,9,Unnamed.10,Unnamed.45,Unnamed: 56,32,10,Unnamed.11,Unnamed.46,Unnamed: 61,35,11.1,Unnamed.12,Unnamed.47,Unnamed: 66,38,12,Unnamed.13,Unnamed.48,Unnamed: 71,41,13,Unnamed.14,Unnamed.49,Unnamed: 76,44,14.1,Unnamed.15,Unnamed.50,Unnamed: 81,47,15,Unnamed.16,Unnamed.51,Unnamed: 86,50,16,Unnamed.17,Unnamed.52,Unnamed: 91,53,17.1,Unnamed.18,Unnamed.53,Unnamed: 96,56,18,Unnamed.19,Unnamed.54,Unnamed: 101,59,19,Unnamed.20,Unnamed.55,Unnamed: 106,62,20.1,Unnamed.21,Unnamed.56,Unnamed: 111,65,21,Unnamed.22,Unnamed.57,Unnamed: 116,68,22,Unnamed.23,Unnamed.58,Unnamed: 121,71,23.1,Unnamed.24,Unnamed.59,Unnamed: 126,74,24,Unnamed.25,Unnamed.60,Unnamed: 131,77,25,Unnamed.26,Unnamed.61,Unnamed: 136,80,26.1,Unnamed.27,Unnamed.62,Unnamed: 141,83,27,Unnamed.28,Unnamed.63,Unnamed: 146,86,28,Unnamed.29,Unnamed.64,Unnamed: 151,89,29.1,Unnamed.30,Unnamed.65,Unnamed: 156,92,30,Unnamed.31,Unnamed.66,Unnamed: 161,95,31,Unnamed.32,Unnamed.67,Unnamed: 166,98,32.1,Unnamed.33,Unnamed.68,Unnamed: 171,101,33,Plate,information
0,0,0,Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,"""""""""""""""""""""""""""""""=""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",14.51,22.08,22,45.3,45.6,22.26,22.09,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,6/29/2023,3,25,27,PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,1,Pingping,US,LUM,384,(cps),0,8,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,Results,for,Pingping,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,A,12400,14920,15000,13960,14360,13920,15960,15120,15600,15760,12320,12440,10600,14040,13640,15240,13920,15280,14080,15200,11120,20280,792440,770520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,B,15560,15040,15400,13960,14400,15000,14920,14720,14760,16080,12360,12880,15120,12280,15480,14160,15000,15800,14600,12480,13640,19920,801360,744200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,C,14920,14040,14720,15280,15640,14960,13320,19160,17560,14640,14240,14960,14440,14800,15520,15800,15360,15120,14800,15720,15160,19760,732280,712280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,D,15320,14680,14600,14080,11520,14160,16720,14720,15000,14040,12800,13960,14600,14360,16040,13120,14480,15560,15680,14680,16440,19760,772480,698760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
