,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plate,information
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,"""=""""""""""",14.57,22.57,22.89,45.8,45.8,23.44,23.17,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/26/2023,4,40,22,PM,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,8,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
7760,8000,7760,8400,8720,8080,7600,7440,7800,7680,7400,8080,8760,8240,7440,7520,7320,7640,7600,7840,8440,7560,800,46440,,,,,,,,,,,,
8000,7680,8760,7800,8000,8040,8000,7720,8720,7920,6280,8600,8360,6760,8840,8040,7880,7600,8160,7600,7440,6440,280,39920,,,,,,,,,,,,
7840,8520,8480,9040,7080,7240,7040,9240,7160,7880,7400,8000,7200,7160,7120,7640,7200,7160,6880,7200,7320,7360,840,53800,,,,,,,,,,,,
8200,7520,9040,7120,7240,8520,8760,7800,8640,8120,8000,7920,8240,7480,8360,7640,7760,7440,8240,7400,8240,6640,600,38640,,,,,,,,,,,,
7600,7880,7840,8080,8280,8080,8720,8840,9040,9320,8880,8520,8080,8840,8520,9200,8440,7880,7280,7040,7440,7240,800,47960,,,,,,,,,,,,
8680,7640,8800,7760,8000,8000,9240,7680,8880,7640,8760,8400,9120,8400,8560,7560,8400,7400,7400,7360,6720,6560,1480,37000,,,,,,,,,,,,
8080,7840,7560,8600,8280,7920,8520,8440,8680,8440,8200,9000,8320,9120,8400,8440,8800,8680,8760,9000,7720,7480,960,53000,,,,,,,,,,,,
7960,8120,9000,7320,8080,8440,8840,7760,8800,8240,9520,8200,8200,7920,8200,8040,7920,7240,6960,6200,6400,5880,1960,38760,,,,,,,,,,,,
7960,8280,8080,8400,8960,8800,8000,8720,7800,8280,8200,9000,8400,8920,8680,8440,8160,8800,8200,9960,8480,8800,600,46080,,,,,,,,,,,,
8400,8040,8280,7920,8400,8120,7920,7640,8840,8280,8240,7880,9080,7640,7840,7880,8720,8320,8200,7440,8000,6760,1800,40600,,,,,,,,,,,,
8080,8480,7400,8360,7840,8640,8640,8480,8760,8600,8240,8080,7560,7960,9120,8560,7840,8320,8040,8000,7720,8480,600,41400,,,,,,,,,,,,
7720,7480,7960,7840,9120,7440,8560,7720,8200,7640,8440,7640,8560,9000,8360,8480,8560,7800,7960,7680,8120,7720,680,38600,,,,,,,,,,,,
7520,7760,7640,8520,7960,7600,7920,8000,7760,7720,7840,8360,7680,8600,7840,7880,7800,8520,7680,8320,7840,8400,560,47640,,,,,,,,,,,,
8160,7760,7160,6840,7880,7320,7680,7840,7520,7320,16480,7080,7800,8280,7360,7400,7160,7440,7560,7360,7240,6480,520,45240,,,,,,,,,,,,
7720,7840,7360,7360,7680,8160,7400,7920,7800,7640,7520,7640,7880,8520,8160,8440,7600,8000,7680,8360,7960,8680,760,63840,,,,,,,,,,,,
7120,6680,7440,7600,7760,7720,7960,7120,6840,6720,7240,7080,7400,6920,7040,6600,6520,6840,7360,6800,7960,9640,680,49040,,,,,,,,,,,,
Basic,assay,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,ID,,,,,,2780,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Started,,,,,,7/26/2023,4,38,31,PM,,,,,,,,,,,,,,,,,,,,,,,,
