,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plate,information
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,"""=""""""""""",14.51,23.16,23.28,43.6,43.6,23.44,23.47,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/26/2023,5,12,56,PM,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,8,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
6680,7480,7600,7840,7520,8640,7320,7840,7000,7160,7400,7440,7040,7320,7000,7240,6280,7080,7560,7520,7080,7280,840,62680,,,,,,,,,,,,
7320,7000,6840,6800,7680,7400,7560,7080,7080,6320,7400,6880,7000,7120,6800,6440,6760,6440,6600,6640,7080,6400,640,53280,,,,,,,,,,,,
7000,7240,6920,7640,7520,7880,7600,7240,6560,7040,6520,5680,6440,6920,6880,7520,6560,6600,6920,6840,6520,6560,720,63840,,,,,,,,,,,,
7720,6920,7080,6480,7240,7320,7440,6640,7200,6800,6960,6520,7120,6760,6880,6800,6960,6760,7000,6640,6640,6040,1360,55520,,,,,,,,,,,,
7080,7240,7680,7560,7360,7440,6960,7320,6520,7480,6880,7120,6760,7600,6360,7000,6760,6760,6920,6640,6000,6280,720,65280,,,,,,,,,,,,
7440,6240,7040,6960,7320,6920,7400,6480,6680,6520,8840,6680,6840,6320,6560,6800,6560,6080,6560,6120,6400,6080,480,56120,,,,,,,,,,,,
6840,7320,6800,7360,7360,13360,7160,6680,7120,6840,6600,7120,6640,7200,6440,6400,6240,6560,6480,6800,6480,7000,840,66680,,,,,,,,,,,,
7200,6480,6920,6800,6480,7280,7040,6360,6760,5960,6840,6480,7200,6640,6640,6120,6520,6240,6760,6440,6560,5720,680,61200,,,,,,,,,,,,
7000,7320,7080,7640,3480,7880,6880,7920,6760,7200,6880,7160,7080,7520,7040,6960,6000,6400,6600,6280,6320,6760,680,68160,,,,,,,,,,,,
7000,6800,6840,5880,7200,12360,8000,6480,6800,6560,6760,6720,6680,6480,6920,6520,6640,6080,6960,6440,6480,6200,560,59560,,,,,,,,,,,,
7120,7040,6480,7320,7160,7360,6560,6960,6480,6920,6360,7160,6560,6600,6120,6400,5920,6480,6480,6360,5960,6120,560,53760,,,,,,,,,,,,
6760,6600,6520,6440,6960,7280,6800,5840,6600,6720,10560,6480,6520,6320,6360,6280,6640,6000,6240,6440,6080,6160,840,59920,,,,,,,,,,,,
6480,6960,6240,7280,5800,6720,6920,6720,6600,6280,6800,6600,6000,6120,6280,7640,6160,6920,6040,6280,6720,6280,920,66520,,,,,,,,,,,,
6400,5880,5800,5680,6120,6120,6280,6160,6600,5120,6160,5760,6320,6200,6560,5840,6440,5800,11120,4600,6560,5920,760,61160,,,,,,,,,,,,
6080,6760,6840,6840,6760,6480,7120,7120,6600,7080,6520,6800,6360,6720,6560,6920,6680,7120,6560,6400,6200,6800,880,69040,,,,,,,,,,,,
6760,6200,6280,6480,6160,5760,5960,5840,6240,6120,6480,6280,6760,6440,6600,6120,6760,6200,6320,6640,6240,6040,640,59200,,,,,,,,,,,,
Basic,assay,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,ID,,,,,,2792,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Started,,,,,,7/26/2023,5,11,24,PM,,,,,,,,,,,,,,,,,,,,,,,,
