,Unnamed: 0.1,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Plate,information
0,0,Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,1,1,"""""""=""""""""""""""""""""""",14.51,22.57,22.79,40.9,40.4,23.25,23.47,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/7/2023,6,28,28,PM,,,,,,,
2,2,Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,1,Pingping,US,LUM,384,(cps),0,152,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
5,5,Results,for,Pingping,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,
6,6,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,
7,7,A,-0.14371116751701138,-0.14371116751701138,-0.04310907101438335,-0.05242069882134162,-0.14882343376396887,0.01531682895084536,0.025723942382151838,0.01312585770214926,-0.06921814506134487,-0.32099725772400206,0.0007103539595382216,-0.056802641318733825,-0.11102917972396156,-0.04566520413786208,-0.8932059155084601,-0.14462407220396806,-0.12527049284048608,-1.2919626827711455,-0.12819178783874743,-0.12344468346657275,-0.1897215637396289,-0.11705435065787585,-1.321905956503325,3.5436934440384813,,,,,,,,,,,
8,8,B,-0.06027167912916922,-0.14389374845440278,-0.07871235380569454,-0.22422936090659204,-1.0586242447850138,-0.03945745226655656,-0.1265485594022255,0.031931694253457356,-0.11668918878309306,-0.020651615715248612,0.020976838009976854,-0.16726410844049416,0.031749113316065815,-0.2012241627952833,-0.05808070788047311,-0.5265833932266504,-0.11559370315874501,-0.1884434971778896,-0.475825892631858,-0.10463884691526466,-0.04329165195177458,-0.29105398399182236,-1.3113162621346277,4.354535386993421,,,,,,,,,,,
9,9,C,-0.1698202415639729,0.14823575137174044,-0.10135239004222066,-0.24102680714659527,0.08360209953520636,0.06735239610737716,-0.1718286318752776,-0.09094527661091419,-0.040735518828295854,-0.18223574530658396,-0.1449892340787507,-0.07433041130830233,0.160286093239569,0.12669120075956253,-0.12873953065092147,0.056762701738679436,-0.562916999767527,-0.03690131914307782,-0.11833241721961514,-0.044387137576122636,-0.22222097059528734,0.12322216294912712,-1.328844032124196,2.2145042198295295,,,,,,,,,,,
10,10,D,-0.011705149783072966,-0.06246265037786532,-0.24285261652050874,-0.18661768780397614,0.018785866761280752,-0.049316822885688866,0.13892412356478231,-0.02028645384046583,-0.09715302848221985,-0.15667441407179644,-0.02357291071350998,0.0005277730221468301,0.0631530345473762,-0.21893451372224318,0.2097655272726219,-0.011887730720464208,0.2167036028934927,-0.08327687724047797,-0.12508791190309468,-0.046395527887427346,-0.5079601376127336,-0.08236397255352132,-1.335234364932893,2.175797061102566,,,,,,,,,,,
11,11,E,-0.14462407220396806,0.06278787267259371,-0.05990651725438658,-0.07414783037091109,-0.1738370221865823,-0.17602799343527842,-0.14115503439353266,-0.33742954208922266,-0.2275158177796362,0.10587697389694986,-0.15156214782483898,0.029740723004761258,-0.1721937937500604,0.10368600264825376,-0.22276871340746135,-0.09733560941961109,-0.08674591505091336,-0.20469320060571883,-0.07487815412047635,-0.14334600564222877,-0.13549502533440116,-0.06228006944047393,-1.3268356418128915,3.404749350683672,,,,,,,,,,,
