,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Plate,information
0,Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,1,"""""""=""""""""""""""""""""""",14.57,22.08,21.22,43.9,43.9,21.48,21.21,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/7/2023,6,34,05,PM,,,,,,,
2,Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,Pingping,US,LUM,384,(cps),0,172,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
5,Results,for,Pingping,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,
6,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,
7,A,0.1032818902462375,0.11798720943591315,0.1192509478037759,0.057614981043924485,0.14891050434649408,0.12172098188641672,0.11714471719067131,0.1176234059663769,0.11823612759928005,0.12212308045800942,0.11861907861984453,0.1363688584230077,0.12710144372534754,0.11930839045686056,0.13476046413663692,0.12388465515260598,0.12564622984720256,0.14651706046796614,0.13280741393175813,0.14345345230345039,0.11886799678321143,0.12174012943744494,0.005782560410523494,0.8969095852640447,,,,,,,,,,,
8,B,0.12239114617240456,0.10975376249377705,0.12474629494887604,0.11768084861946157,0.12602918086776702,0.1440278788342971,0.12566537739823078,0.11618733963926015,0.13135220005361314,0.13780492475012446,0.1438555508750431,0.14498525638570828,0.1425535174051239,0.13483705434074983,0.14726381495806687,0.12294642515222302,0.13786236740320912,0.13435836556504424,0.12662275494964195,0.1103664841266802,0.1548845402672998,0.11829357025236473,0.006682495308849998,0.9485505303871635,,,,,,,,,,,
9,C,0.11915521004863477,0.13171600352314938,0.1215295063761345,0.12549304943897677,0.14276414046643435,0.12872898556274653,0.13864741699536628,0.1327882663807299,0.12938000229770613,0.13573698923907632,0.1381687282196607,0.13117987209435913,0.11220464902538965,0.1403515490368782,0.14584689618197832,0.1367709569946004,0.12788649331750468,0.14802971699919582,0.12805882127675872,0.1304139700532302,0.132539348217363,0.11815953739516716,0.001091410408608739,0.453394860797304,,,,,,,,,,,
10,D,0.13468387393252404,0.1142725845364378,0.12386550760157776,0.11680006127216329,0.13422433270784667,0.10960058208555126,0.1397005323019186,0.10404779228736645,0.11185999310688163,0.1282885918890974,0.132711676176617,0.14726381495806687,0.1461532569984299,0.12313790066250527,0.1515337188373607,0.10381802167502777,0.10132884004135871,0.12049553862061042,0.05344081491977176,0.11490445372036917,0.127312066786658,0.11128556657603493,0.0064527246965113165,0.6638647416995366,,,,,,,,,,,
11,E,0.11611074943514725,0.1223528510703481,0.1319074790334316,0.12859495270554896,0.12288898249913836,0.12769501780722245,0.11917435759966301,0.1358901696473021,0.10768582698272891,0.11827442270133649,0.14508099414084938,0.13263508597250412,0.1156703557614981,0.1421514188335312,0.0785815494198292,0.12604832841879524,0.12070616168192089,0.14328112434419638,0.1193275380078888,0.13717305556619308,0.11568950331252632,0.11628307739440126,0.0037337724505035804,0.6392601386282695,,,,,,,,,,,
12,F,0.11230038678053077,0.11367901045456286,0.1174702255581511,0.10891127024853521,0.1151725194347643,0.11775743882357446,0.14153869720062803,0.12826944433806917,0.11890629188526787,0.13778577719909624,0.13144793780875427,0.10854746677899897,0.12800137862367403,0.11829357025236473,0.14121318883314823,0.13079692107379468,0.11708727453758665,0.12206563780492476,0.13135220005361314,0.10203729942940298,0.1227549496419408,0.11955730862022747,0.004863477961168767,0.8072990464519588,,,,,,,,,,,
13,G,0.12679508290889596,0.13085436372687934,0.11909776739555011,0.12068701413089265,0.11438746984260713,0.1284609198483514,0.13926013862826944,0.12809711637881516,0.11913606249760655,0.13054800291042776,0.13047141270631485,0.13299888944204036,0.10902615555470456,0.13154367556389537,0.12690996821506528,0.14197909087427718,0.13334354536054838,0.12313790066250527,0.12641213188833147,0.13587102209627389,0.12386550760157776,0.13552636617776587,0.003963543062842263,0.8248382031938115,,,,,,,,,,,
14,H,0.144276796997664,0.12302301535633592,0.12821200168498448,0.12348255658101329,0.11521081453682074,0.12162524413127561,0.13504767740206028,0.12533986903075098,0.13690498985179794,0.12250603147857389,0.14667024087619193,0.11498104392448207,0.14236204189484164,0.1217018343353885,0.12838432964423852,0.12070616168192089,0.12336767127484395,0.12346340902998507,0.12754183739899666,0.12315704821353349,0.10829854861563207,0.11612989698617547,0.0027189522460077356,0.7039405660016084,,,,,,,,,,,
15,I,0.11858078351778807,0.14155784475165625,0.12262091678474323,0.13460728372841113,0.11879140657909854,0.12541645923486386,0.11946157086508635,0.11884884923218321,0.13828361352583005,0.12934170719564966,0.07201393941714855,0.13728794087236243,0.12367403209129553,0.1486807337341554,0.13761344923984223,0.127484394745912,0.14425764944663577,0.14776165128480068,0.1291885267874239,0.14016007352659596,0.1176234059663769,0.12949488760387545,0.0021062306131045838,0.7468693754068855,,,,,,,,,,,
