Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Plate,information
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,"""""""=""""""""""""""""""""""",14.41,21.78,21.81,48.3,48.1,22.07,21.99,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/26/2023,4,53,25,PM,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,12,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
0.10506666666666667,0.11413333333333334,0.10666666666666667,0.1184,0.11786666666666666,0.1168,0.10293333333333334,0.10933333333333334,0.10986666666666667,0.11893333333333334,0.11946666666666667,0.1216,0.11466666666666667,0.11893333333333334,0.11573333333333333,0.12,0.1168,0.10293333333333334,0.11093333333333333,0.1296,0.104,0.104,0.0,0.896,,,,,,,,,,,,
0.1104,0.1056,0.112,0.10933333333333334,0.10666666666666667,0.11466666666666667,0.11253333333333333,0.1056,0.10933333333333334,0.1008,0.11573333333333333,0.10613333333333333,0.11466666666666667,0.09653333333333333,0.10933333333333334,0.0944,0.10506666666666667,0.09386666666666667,0.1008,0.0928,0.104,0.08853333333333334,0.0005333333333333334,0.7893333333333333,,,,,,,,,,,,
0.10186666666666666,0.1136,0.1072,0.11306666666666666,0.10666666666666667,0.09973333333333333,0.0912,0.09653333333333333,0.10293333333333334,0.0976,0.096,0.10453333333333334,0.10453333333333334,0.1008,0.0896,0.0944,0.1376,0.09386666666666667,0.1008,0.09546666666666667,0.27786666666666665,0.0992,0.009066666666666667,0.8986666666666666,,,,,,,,,,,,
0.1104,0.09866666666666667,0.10506666666666667,0.10666666666666667,0.11146666666666667,0.11306666666666666,0.11466666666666667,0.10453333333333334,0.11306666666666666,0.10666666666666667,0.1152,0.11413333333333334,0.11466666666666667,0.11093333333333333,0.11146666666666667,0.10506666666666667,0.11306666666666666,0.10666666666666667,0.09973333333333333,0.09653333333333333,0.12,0.0992,0.005333333333333333,0.7685333333333333,,,,,,,,,,,,
0.10773333333333333,0.11306666666666666,0.1088,0.1152,0.1248,0.1248,0.10826666666666666,0.1104,0.10613333333333333,0.12,0.11146666666666667,0.10666666666666667,0.1136,0.10933333333333334,0.10986666666666667,0.10933333333333334,0.09546666666666667,0.10506666666666667,0.1056,0.104,0.09386666666666667,0.0928,0.0021333333333333334,0.9722666666666666,,,,,,,,,,,,
