,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Plate,information
0,Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,1,"""=""""""""""",14.51,22.47,22.59,41.4,41.4,22.95,23.27,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/7/2023,3,58,22,PM,,,,,,,
2,Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,Pingping,US,LUM,384,(cps),0,8,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
5,Results,for,Pingping,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,
6,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,
7,A,-0.2747717371384703,-0.20798875152174182,-0.20798875152174182,-0.22229939129675513,-0.2556908841051193,-0.21752917803841731,-0.2461504575884438,-0.28908237691348365,-0.26046109736345713,-0.2366100310717683,-0.2938525901718213,-0.20798875152174182,-0.3033930166884968,-0.09350363332163601,-0.21752917803841731,-0.14597597916335117,-0.2652313106217948,-0.16982704545504,-0.25092067084678166,-0.19367811174672864,-0.150746192421689,-0.27000152388013265,-1.1000186308309003,5.358850120958406,,,,,,,,,,,
8,B,-0.18890789848839099,-0.27000152388013265,-0.150746192421689,-0.2795419503968081,-0.16505683219670217,-0.18890789848839099,-0.131665339388338,-0.22229939129675513,-0.1793674719717155,-0.3033930166884968,-0.150746192421689,-0.22229939129675513,-0.2270696045550928,-0.19844832500506648,-0.18413768523005317,-0.3797164288219007,-0.2461504575884438,-0.19367811174672864,-0.1602866189383645,-0.23183981781343063,-0.17459725871337767,-0.2747717371384703,-1.0713973512808739,3.951637209748772,,,,,,,,,,,
9,C,-0.2366100310717683,-0.150746192421689,-0.13643555264667567,-0.131665339388338,-0.19844832500506648,-0.1793674719717155,-0.22229939129675513,-0.16982704545504,-0.20321853826340414,-0.10781427309664916,-0.131665339388338,-0.12689512613000017,-0.09350363332163601,-0.10304405983831151,-0.3224738697218478,-0.1602866189383645,0.04960276442849629,-0.16505683219670217,-0.23183981781343063,-0.1412057659050135,0.3024240671203969,-0.22229939129675513,-1.0809377777975493,5.029705406133103,,,,,,,,,,,
10,D,-0.1412057659050135,-0.2366100310717683,-0.150746192421689,-0.14597597916335117,-0.2270696045550928,-0.11735469961332466,-0.15551640568002667,-0.18413768523005317,-0.15551640568002667,-0.16505683219670217,-0.11735469961332466,-0.10781427309664916,-0.10781427309664916,-0.10304405983831151,-0.13643555264667567,-0.1793674719717155,-0.10304405983831151,-0.18413768523005317,-0.17459725871337767,-0.23183981781343063,-0.150746192421689,-0.2556908841051193,-1.1047888440892382,4.5479138670409895,,,,,,,,,,,
11,E,-0.21752917803841731,-0.16982704545504,-0.19367811174672864,-0.12689512613000017,-0.20321853826340414,-0.1602866189383645,-0.12689512613000017,-0.11258448635498701,-0.21275896478007963,-0.12212491287166251,-0.16505683219670217,-0.14597597916335117,-0.1602866189383645,-0.12212491287166251,-0.1793674719717155,-0.08873342006329835,-0.19367811174672864,-0.22229939129675513,-0.16505683219670217,-0.1602866189383645,-0.30816322994683454,-0.2270696045550928,-1.1095590573475758,5.058326685683129,,,,,,,,,,,
12,F,-0.09350363332163601,-0.23183981781343063,-0.2270696045550928,-0.2986228034301591,-0.15551640568002667,-0.1793674719717155,-0.08396320680496051,-0.2366100310717683,-0.12689512613000017,-0.20798875152174182,-0.07442278028828501,-0.20798875152174182,-0.09350363332163601,-0.19367811174672864,-0.18890789848839099,-0.18413768523005317,-0.06965256702994735,-0.17459725871337767,-0.10304405983831151,-0.2270696045550928,-0.12212491287166251,-0.24138024433010613,-1.1095590573475758,4.347564910190805,,,,,,,,,,,
13,G,-0.27000152388013265,-0.18890789848839099,-0.18890789848839099,-0.24138024433010613,-0.19844832500506648,-0.10781427309664916,-0.16982704545504,-0.10781427309664916,-0.13643555264667567,-0.17459725871337767,-0.08396320680496051,-0.14597597916335117,-0.1602866189383645,-0.12212491287166251,-0.131665339388338,-0.08873342006329835,-0.19844832500506648,-0.131665339388338,-0.15551640568002667,-0.1602866189383645,-0.23183981781343063,-0.18890789848839099,-1.1047888440892382,5.063096898941466,,,,,,,,,,,
14,H,-0.1793674719717155,-0.33678450949686106,-0.11735469961332466,-0.18890789848839099,-0.1602866189383645,-0.26046109736345713,-0.07442278028828501,-0.1602866189383645,-0.07919299354662285,-0.1793674719717155,-0.04580150073825852,-0.1412057659050135,-0.06965256702994735,-0.20798875152174182,-0.12212491287166251,-0.1412057659050135,-0.1793674719717155,-0.21275896478007963,-0.17459725871337767,-0.1602866189383645,-0.16982704545504,-0.2843121636551458,-1.1143292706059136,4.438198962099222,,,,,,,,,,,
15,I,-0.20798875152174182,-0.18890789848839099,-0.14597597916335117,-0.10781427309664916,-0.09350363332163601,-0.09350363332163601,-0.18890789848839099,-0.09827384657997366,-0.08873342006329835,-0.08396320680496051,-0.04580150073825852,-0.07919299354662285,-0.131665339388338,-0.05057171399659636,-0.12689512613000017,-0.05057171399659636,-0.150746192421689,-0.12212491287166251,-0.150746192421689,-0.12212491287166251,-0.1602866189383645,-0.11735469961332466,-1.1143292706059136,4.8532075155746055,,,,,,,,,,,
16,J,-0.10304405983831151,-0.20321853826340414,-0.08396320680496051,-0.19367811174672864,-0.12689512613000017,-0.19367811174672864,-0.11258448635498701,-0.13643555264667567,-0.021950434446569862,-0.1412057659050135,-0.08396320680496051,-0.16982704545504,-0.08396320680496051,-0.09827384657997366,-0.02672064770490752,-0.18890789848839099,-0.03626107422158302,-0.19844832500506648,-0.13643555264667567,-0.20321853826340414,-0.12689512613000017,-0.18413768523005317,-1.1047888440892382,4.271241498057401,,,,,,,,,,,
17,K,-0.19367811174672864,-0.16982704545504,-0.16505683219670217,-0.13643555264667567,-0.131665339388338,-0.06011214051327186,-0.131665339388338,-0.18413768523005317,-0.12689512613000017,-0.08396320680496051,-0.11258448635498701,-0.1412057659050135,-0.131665339388338,-0.06965256702994735,-0.150746192421689,-0.1412057659050135,-0.11735469961332466,-0.14597597916335117,-0.19844832500506648,-0.13643555264667567,-0.2270696045550928,-0.11735469961332466,-1.0809377777975493,4.92953092770801,,,,,,,,,,,
18,L,-0.2270696045550928,-0.27000152388013265,-0.08873342006329835,-0.20798875152174182,-0.12689512613000017,-0.19844832500506648,-0.15551640568002667,-0.1412057659050135,-0.17459725871337767,-0.13643555264667567,-0.1412057659050135,-0.07442278028828501,-0.374946215563563,-0.18413768523005317,-0.09827384657997366,-0.14597597916335117,-0.07442278028828501,-0.2270696045550928,-0.12689512613000017,-0.150746192421689,-0.11258448635498701,-0.16982704545504,-1.0904782043142247,4.1615265931156324,,,,,,,,,,,
19,M,-0.24138024433010613,-0.1602866189383645,-0.17459725871337767,-0.11258448635498701,-0.19367811174672864,-0.11258448635498701,-0.15551640568002667,-0.05534192725493402,-0.17459725871337767,-0.06011214051327186,-0.15551640568002667,-0.131665339388338,-0.1602866189383645,-0.150746192421689,-0.09350363332163601,-0.09350363332163601,-0.1412057659050135,-0.22229939129675513,-0.150746192421689,-0.14597597916335117,-0.20321853826340414,-0.19367811174672864,-1.1143292706059136,5.382701187250095,,,,,,,,,,,
20,N,-0.12689512613000017,-0.19844832500506648,-0.19844832500506648,-0.21275896478007963,-0.14597597916335117,-0.18413768523005317,-0.15551640568002667,-0.1793674719717155,-0.16982704545504,-0.150746192421689,-0.09827384657997366,-0.16505683219670217,-0.07442278028828501,-0.131665339388338,-0.02672064770490752,-0.131665339388338,-0.16505683219670217,-0.17459725871337767,-0.08873342006329835,-0.2270696045550928,-0.1602866189383645,-0.18890789848839099,-1.1000186308309003,4.433428748840884,,,,,,,,,,,
21,O,-0.19844832500506648,-0.1793674719717155,-0.21275896478007963,-0.17459725871337767,-0.2556908841051193,0.8605390183459131,-0.16505683219670217,-0.14597597916335117,-0.1412057659050135,-0.12212491287166251,-0.1793674719717155,-0.15551640568002667,-0.24138024433010613,-0.18890789848839099,-0.19367811174672864,-0.131665339388338,-0.20798875152174182,-0.150746192421689,-0.28908237691348365,-0.13643555264667567,-0.19367811174672864,-0.16505683219670217,-1.1095590573475758,4.9343011409663475,,,,,,,,,,,
