,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Plate,information
0,Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,1,"""""""=""""""""""""""""""""""",14.57,21.66,21.61,44,43.6,21.85,22.09,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/7/2023,3,36,58,PM,,,,,,,
2,Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,Pingping,US,LUM,384,(cps),0,8,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
5,Results,for,Pingping,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,
6,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,
7,A,0.12462552426602756,0.13121629718394248,0.11623726782504494,0.13001797483523067,0.1384062312762133,0.1396045536249251,0.12762133013780708,0.1366087477531456,0.1390053924505692,0.1324146195326543,0.1324146195326543,0.14379868184541642,0.12642300778909527,0.14140203714799282,0.1318154583582984,0.1378070701018574,0.12762133013780708,0.12043139604553625,0.12462552426602756,0.12282804074295986,0.12822049131216298,0.12941881366087477,0.0017974835230677051,0.896345116836429,,,,,,,,,,,
8,B,0.12642300778909527,0.12462552426602756,0.1330137807070102,0.12222887956860395,0.12702216896345117,0.13001797483523067,0.13361294188136608,0.13361294188136608,0.1378070701018574,0.12402636309167166,0.11144397843019772,0.12762133013780708,0.1354104254044338,0.1006590772917915,0.1420011983223487,0.12642300778909527,0.1390053924505692,0.11623726782504494,0.12522468544038345,0.12103055721989216,0.12642300778909527,0.10724985020970641,0.002396644697423607,0.7956860395446375,,,,,,,,,,,
9,C,0.11923307369682444,0.1360095865787897,0.1324146195326543,0.12762133013780708,0.12462552426602756,0.1396045536249251,0.1354104254044338,0.1384062312762133,0.1330137807070102,0.14140203714799282,0.1366087477531456,0.1324146195326543,0.1378070701018574,0.1360095865787897,0.1378070701018574,0.12822049131216298,0.12822049131216298,0.1288196524865189,0.12822049131216298,0.1330137807070102,0.1288196524865189,0.12582384661473936,0.002396644697423607,0.895745955662073,,,,,,,,,,,
