,Unnamed: 0.1,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Plate,information
0,0,Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,1,1,"""""""=""""""""""""""""""""""",14.51,21.49,21.32,43.7,43.7,21.67,21.7,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/7/2023,4,19,33,PM,,,,,,,
2,2,Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,1,Pingping,US,LUM,384,(cps),0,4,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
5,5,Results,for,Pingping,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,
6,6,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,
7,7,A,-0.18093633747520244,-0.13075742016870542,-0.19005977698547466,-0.1535660189443859,-0.1535660189443859,-0.1353191399238416,-0.17637461772006635,-0.1672511782097942,-0.14444257943411373,-0.0851402226173445,-0.24023869429197167,-0.1353191399238416,-0.15812773869952207,-0.1490042991892499,-0.16268945845465804,-0.13075742016870542,-0.23567697453683562,-0.1353191399238416,-0.19462149674061074,-0.062331623841664026,-0.1353191399238416,-0.11707226090329712,-0.9609904156034742,5.001177304359398,,,,,,,,,,,
8,8,B,-0.20374493625088289,-0.14444257943411373,-0.0988253818827528,-0.17637461772006635,-0.07145506335193617,-0.20374493625088289,-0.10338710163788897,-0.1535660189443859,-0.1490042991892499,-0.18093633747520244,-0.14444257943411373,-0.19462149674061074,-0.07601678310707234,-0.20830665600601905,-0.0851402226173445,-0.1353191399238416,-0.19462149674061074,-0.21743009551629122,-0.11251054114816113,-0.2676090128227882,-0.13988085967897756,-0.23567697453683562,-0.9746755748688825,4.134450550883541,,,,,,,,,,,
9,9,C,-0.1718128979649303,-0.1535660189443859,-0.19462149674061074,-0.13988085967897756,-0.1353191399238416,-0.09426366212761664,-0.16268945845465804,-0.12163398065843327,-0.12619570041356945,-0.07601678310707234,-0.13988085967897756,-0.13988085967897756,-0.18093633747520244,-0.13075742016870542,-0.13075742016870542,-0.10338710163788897,-0.19462149674061074,-0.16268945845465804,-0.19005977698547466,-0.19918321649574683,-0.22655353502656336,-0.18093633747520244,-0.9609904156034742,4.805023354888546,,,,,,,,,,,
10,10,D,-0.12619570041356945,-0.1490042991892499,-0.07145506335193617,-0.13988085967897756,-0.05320818433139188,-0.1490042991892499,-0.0851402226173445,-0.15812773869952207,-0.12619570041356945,-0.1718128979649303,-0.08057850286220851,-0.09426366212761664,-0.13075742016870542,-0.17637461772006635,-0.07601678310707234,-0.1535660189443859,-0.12163398065843327,-0.1718128979649303,-0.0988253818827528,-0.19462149674061074,-0.17637461772006635,-0.24480041404710776,-0.9701138551137465,4.029530996515411,,,,,,,,,,,
11,11,E,-0.19462149674061074,-0.18093633747520244,-0.12163398065843327,-0.13988085967897756,-0.19918321649574683,-0.18093633747520244,-0.19462149674061074,-0.1854980572303386,-0.19005977698547466,-0.07601678310707234,-0.14444257943411373,-0.04864646457625571,-0.08057850286220851,-0.11707226090329712,-0.1854980572303386,-0.1353191399238416,-0.15812773869952207,-0.18093633747520244,-0.18093633747520244,-0.18093633747520244,-0.1854980572303386,-0.1672511782097942,-0.9655521353586103,4.732035838806369,,,,,,,,,,,
