,Unnamed: 0.1,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Plate,information
0,0,Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,1,1,"""""""=""""""""""""""""""""""",14.57,21.69,21.71,43.6,43.6,21.97,21.99,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/7/2023,4,26,36,PM,,,,,,,
2,2,Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,1,Pingping,US,LUM,384,(cps),0,716,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
5,5,Results,for,Pingping,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,
6,6,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,
7,7,A,-0.11845875592905683,-0.016540070717867058,-0.1369894259674548,-0.10456075340025817,-0.07676474834266102,-0.007274735698668069,-0.03043807324666572,-0.07213208083306152,-0.12772409094825582,-0.22964277615944542,-0.19258143608264927,0.01588860184932958,-0.12772409094825582,-0.09992808589065867,-0.03043807324666572,-0.08603008336186001,-0.1323567584578553,0.06221527694532488,-0.12309142343865632,-0.09529541838105918,-0.07213208083306152,-0.025805405737066224,-0.8874815625225788,5.334190902869591,,,,,,,,,,,
8,8,B,0.02515393686852875,-0.14162209347705448,-0.15088742849625347,-0.10456075340025817,-0.11845875592905683,-0.07213208083306152,-0.04896874328506388,-0.21111210612104744,-0.04896874328506388,-0.10456075340025817,-0.03970340826586471,-0.17405076604425113,0.02515393686852875,-0.1369894259674548,-0.058234078304262867,-0.21574477363064692,-0.06286674581386235,-0.08603008336186001,-0.0906627508714595,-0.19721410359224878,-0.06286674581386235,-0.12309142343865632,-0.9199102350897754,4.115799347844914,,,,,,,,,,,
9,9,C,-0.07213208083306152,-0.03970340826586471,-0.0906627508714595,-0.07676474834266102,-0.12309142343865632,-0.05360141079466337,-0.20184677110184826,-0.10456075340025817,-0.03970340826586471,-0.06749941332346185,-0.07676474834266102,-0.03507074075626521,-0.17405076604425113,-0.10456075340025817,-0.09529541838105918,-0.058234078304262867,-0.20647943861144777,-0.10919342090985766,-0.07676474834266102,-0.09992808589065867,-0.2250101086498459,-0.19721410359224878,-0.9523389076569723,4.982108172140026,,,,,,,,,,,
10,10,D,-0.10456075340025817,-0.22964277615944542,-0.0906627508714595,-0.16015276351545246,-0.007274735698668069,-0.15088742849625347,-0.11845875592905683,-0.06749941332346185,-0.14162209347705448,-0.25743878121704267,-0.05360141079466337,-0.08603008336186001,-0.025805405737066224,-0.22037744114024643,-0.12772409094825582,-0.10919342090985766,-0.15088742849625347,-0.19258143608264927,-0.1369894259674548,-0.12309142343865632,-0.07213208083306152,-0.20184677110184826,-0.915277567580176,4.037044000181722,,,,,,,,,,,
11,11,E,-0.11382608841945716,-0.016540070717867058,-0.16015276351545246,-0.18331610106345012,-0.10919342090985766,-0.11382608841945716,-0.21574477363064692,-0.07676474834266102,-0.18331610106345012,-0.0906627508714595,-0.1323567584578553,-0.08139741585226051,-0.21574477363064692,-0.10919342090985766,-0.16478543102505214,-0.1323567584578553,-0.14625476098665396,-0.1323567584578553,-0.11845875592905683,-0.10456075340025817,-0.20184677110184826,-0.14625476098665396,-0.9477062401473728,5.074761522332017,,,,,,,,,,,
12,12,F,-0.14162209347705448,-0.19258143608264927,-0.11382608841945716,-0.20647943861144777,-0.09992808589065867,-0.19721410359224878,-0.15552009600585295,-0.2250101086498459,-0.17405076604425113,-0.18331610106345012,-0.11845875592905683,-0.05360141079466337,-0.09529541838105918,-0.16941809853465162,-0.11382608841945716,-0.38715347148582946,-0.14625476098665396,-0.1786834335538506,-0.15088742849625347,-0.2250101086498459,-0.1879487685730498,-0.20647943861144777,-0.8967468975417778,4.315004050757694,,,,,,,,,,,
13,13,G,-0.14625476098665396,-0.10456075340025817,-0.12309142343865632,-0.5215008292642159,-0.21111210612104744,-0.18331610106345012,-0.21574477363064692,-0.10919342090985766,-0.15552009600585295,-0.12309142343865632,-0.1879487685730498,-0.16941809853465162,-0.1786834335538506,-0.1369894259674548,-0.10456075340025817,-0.17405076604425113,-0.1879487685730498,-0.09992808589065867,-0.2250101086498459,-0.10456075340025817,-0.19258143608264927,-0.09529541838105918,-0.9569715751665717,5.3202929003407915,,,,,,,,,,,
14,14,H,-0.22964277615944542,-0.18331610106345012,-0.12309142343865632,-0.25280611370744316,-0.16015276351545246,-0.34082679638983415,-0.12772409094825582,-0.22037744114024643,-0.12309142343865632,-0.25743878121704267,-0.12309142343865632,-0.19258143608264927,-0.18331610106345012,-0.19721410359224878,-0.08603008336186001,-0.21574477363064692,-0.16015276351545246,-0.23890811117864458,-0.1879487685730498,-0.26207144872664223,-0.1786834335538506,-0.26207144872664223,-0.9801349127145694,4.3428000558152915,,,,,,,,,,,
15,15,I,-0.1786834335538506,-0.11382608841945716,-0.11845875592905683,-0.12309142343865632,-0.1369894259674548,-0.16015276351545246,-0.06749941332346185,-0.1369894259674548,-0.18331610106345012,-0.14162209347705448,-0.15088742849625347,-0.2759694512554408,-0.12309142343865632,-0.16941809853465162,-0.14162209347705448,-0.19258143608264927,-0.2342754436690451,-0.11382608841945716,-0.24817344619784357,-0.14162209347705448,-0.16941809853465162,-0.17405076604425113,-0.9477062401473728,5.014536844707224,,,,,,,,,,,
16,16,J,-0.16941809853465162,-0.16941809853465162,-0.058234078304262867,-0.18331610106345012,-0.12309142343865632,-0.1369894259674548,-0.17405076604425113,-0.1879487685730498,-0.09992808589065867,-0.1786834335538506,-0.1369894259674548,-0.19258143608264927,-0.20184677110184826,-0.15088742849625347,-0.21574477363064692,-0.22964277615944542,-0.1879487685730498,-0.11382608841945716,-0.1879487685730498,-0.16015276351545246,-0.14162209347705448,-0.21111210612104744,-0.9986655827529676,4.486412748612876,,,,,,,,,,,
17,17,K,-0.2250101086498459,-0.14625476098665396,-0.1879487685730498,-0.38252080397623,-0.1786834335538506,-0.14162209347705448,-0.20647943861144777,-0.19721410359224878,-0.23890811117864458,-0.10919342090985766,-0.1786834335538506,-0.11845875592905683,-0.16941809853465162,-0.14162209347705448,-0.20647943861144777,-0.29913278880343847,-0.19258143608264927,-0.17405076604425113,-0.11845875592905683,-0.21111210612104744,-0.1323567584578553,-0.18331610106345012,-0.9616042426761713,4.690250119035256,,,,,,,,,,,
