,,,,,,,,,,,,,,,,Plate,information,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,,,,,,,,
1,1,,14.41,21.98,22,45.5,45,22.46,22.68,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,8/31/2023,12,13,46,PM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,48,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,12680,13600,14000,16360,16680,14680,12240,15000,16160,14440,13200,16480,17080,5600,17680,20560,13800,18360,12360,16960,20080,16000,2560,445800,,,,,,,,,,,,,,,,,,
B,12880,15160,13680,12520,14080,14200,8520,13440,15280,15720,15080,11800,15440,16800,6440,20840,11520,16640,15200,15240,16120,16120,1360,250240,,,,,,,,,,,,,,,,,,
C,15800,14680,12320,14480,15040,13480,14400,16840,14000,15920,17000,11280,16840,16120,17240,18040,17320,20040,19080,16760,14720,17360,1800,274360,,,,,,,,,,,,,,,,,,
D,11720,14000,7520,14520,14920,14880,13560,15880,15320,16560,14240,18400,14480,17800,16880,15880,15040,18320,15760,13840,15760,15120,1400,248880,,,,,,,,,,,,,,,,,,
E,14520,12640,13880,14160,13520,14080,12520,14720,13600,16840,16080,19920,14320,14240,14160,14160,14600,15560,15120,18040,16040,14560,1480,256000,,,,,,,,,,,,,,,,,,
F,12720,14720,13400,12680,14080,15200,14160,8520,14800,11480,4440,15000,8800,14720,14040,15440,15480,15720,11480,13680,12920,14880,1560,229640,,,,,,,,,,,,,,,,,,
G,12600,15000,13440,15640,14000,26440,13400,13760,16000,15640,9120,15480,15640,16920,21560,18960,17000,13560,16400,16760,15200,17120,1320,237240,,,,,,,,,,,,,,,,,,
H,12680,14240,9040,13200,12480,13440,15080,8320,15000,15040,17320,16240,16560,14920,16360,14520,17680,16960,10200,28480,15960,15640,1400,207760,,,,,,,,,,,,,,,,,,
I,14160,15560,14560,15560,8480,11360,12320,16200,15440,15840,18160,20960,19880,18280,16360,16440,16560,17520,19240,15800,16680,17200,1440,220880,,,,,,,,,,,,,,,,,,
J,13240,23840,14320,12440,13920,54160,15640,14480,15520,11240,19400,32600,18200,15080,18160,17160,14000,16360,15200,10320,19400,13880,1360,225560,,,,,,,,,,,,,,,,,,
K,13240,15560,12680,13320,13720,14000,17160,14720,17400,17880,21680,20080,18080,19000,16000,13480,14320,17440,16160,13400,19400,17120,1160,218640,,,,,,,,,,,,,,,,,,
L,12440,12840,12440,10600,11880,13680,12960,15440,12920,12640,1800,16760,17000,15320,17000,13160,15200,17040,17880,13920,17480,18680,1520,242960,,,,,,,,,,,,,,,,,,
M,13920,14600,12920,13840,10240,15680,13720,14360,16120,15560,16480,16120,12680,14720,16840,7520,19920,13960,13760,18560,12240,19240,1320,207800,,,,,,,,,,,,,,,,,,
N,14240,13640,13320,12040,11320,13280,12160,3600,6680,13800,11760,15280,16520,15360,20240,18440,21080,9560,19400,5680,23240,24080,1480,227560,,,,,,,,,,,,,,,,,,
O,13040,16560,18240,13920,14760,16880,18480,15520,30400,16920,16960,5800,17600,23240,25720,20600,7640,23800,26600,24840,28760,11120,1360,240200,,,,,,,,,,,,,,,,,,
P,13000,13000,13000,10840,14000,10440,13200,14400,16480,14480,10880,6680,13640,17080,14200,18720,20320,22120,20680,26480,34280,70840,1840,195320,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic,assay,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,ID,,,,,,2980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Started,,,,,,8/31/2023,12,12,14,PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Finished,,,,,,8/31/2023,12,14,03,PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
