,,,,,,,,,,,,,,,,Plate,information,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,,,,,,,,
1,1,,14.41,22.08,22.4,44.7,43.9,22.56,22.68,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,8/31/2023,12,19,02,PM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,8,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,30880,40880,34400,73320,35080,29800,34920,23680,21040,19000,20880,18320,18200,16440,17400,14360,17120,13520,14720,14400,15000,13600,3200,259560,,,,,,,,,,,,,,,,,,
B,21160,25840,26960,20520,14680,59680,35200,21840,21480,18520,16960,13080,29080,15560,17800,12920,14400,12760,5880,15920,12160,11600,2120,226120,,,,,,,,,,,,,,,,,,
C,20760,24360,20480,22800,20120,21560,20960,18960,17000,14720,18280,15840,18120,14920,10880,14640,7800,18320,14080,12240,8920,11480,2640,237360,,,,,,,,,,,,,,,,,,
D,17440,20120,18200,18120,19120,18680,18040,16200,15400,14680,17480,16880,17440,17360,15040,16400,15600,14360,13800,13160,10920,11680,2920,262680,,,,,,,,,,,,,,,,,,
E,16840,19120,19120,16760,14200,12760,15440,13600,4440,15520,13400,16920,13880,13640,12880,10120,13040,13800,10240,11480,11760,11800,3120,282480,,,,,,,,,,,,,,,,,,
F,15360,14760,15480,16080,15320,15920,14920,13840,14880,12600,16800,15360,14160,13600,13960,11800,11760,11200,12160,11520,10680,10800,5040,290480,,,,,,,,,,,,,,,,,,
G,15760,17120,15760,11760,18280,13800,14000,24120,16520,16480,15440,9880,13600,14960,14840,13800,13560,14880,14080,13800,13680,12640,3280,322280,,,,,,,,,,,,,,,,,,
H,13800,15360,8360,13800,13640,14000,14920,15800,14560,14440,15720,16080,12920,12640,10160,12200,14120,16720,13440,12240,12520,9960,7520,287760,,,,,,,,,,,,,,,,,,
I,14400,15720,19560,30400,15240,13000,9160,12000,23200,10960,14960,8400,12760,14640,14240,12280,12800,13600,15360,14120,9520,12000,2760,298320,,,,,,,,,,,,,,,,,,
J,13040,23560,15400,15000,12880,13200,13920,23880,11040,12240,13720,14360,13240,12840,12360,13200,12760,15960,11800,9920,12080,10960,8640,234040,,,,,,,,,,,,,,,,,,
K,12920,17400,29040,12800,16240,11840,14200,13960,15280,11520,11320,8680,11360,12760,11920,6400,13280,21880,13680,13720,12680,12960,2480,226800,,,,,,,,,,,,,,,,,,
L,13720,13440,12520,14480,13200,13480,12440,3640,11840,11560,13040,12440,13360,11200,11840,12680,10120,13240,11360,10760,10120,9440,12000,257680,,,,,,,,,,,,,,,,,,
M,13760,18760,15680,15440,14160,14880,17080,15280,16240,15920,11880,16520,11880,12800,14880,13720,14200,12120,7800,9960,10520,11600,2400,204440,,,,,,,,,,,,,,,,,,
N,13200,12320,13840,15120,12720,13920,12960,12240,13760,14160,15600,12520,11440,10240,11960,12240,12760,12000,11640,2240,4800,9200,23480,261640,,,,,,,,,,,,,,,,,,
O,14040,15960,16680,16240,16080,15840,18080,15040,14520,16520,28840,16440,17440,16560,15960,14360,16880,17200,33360,16080,14080,15120,1800,221160,,,,,,,,,,,,,,,,,,
P,12640,14400,13160,14600,14360,15920,13040,13240,12120,12120,14240,13040,12560,7520,10720,8480,11000,14480,24560,11520,7960,14520,4800,202560,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic,assay,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,ID,,,,,,2982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Started,,,,,,8/31/2023,12,17,30,PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Finished,,,,,,8/31/2023,12,19,19,PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
