,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plate,information
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,"""=""""""""""",14.41,21.78,21.61,48.6,48.9,21.87,21.7,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/26/2023,3,15,15,PM,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,12,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
11960,13440,11840,13040,12960,12680,13440,14080,13200,12240,12920,12160,13480,13880,13600,14120,12960,14240,12840,13520,12760,13080,1200,83720,,,,,,,,,,,,
13400,12960,13440,13480,14560,12800,14680,10960,13000,14480,17680,14040,14840,13240,15880,13640,14000,14040,17160,11480,14240,12880,1000,68480,,,,,,,,,,,,
12440,13640,12920,13080,13080,14600,13320,15080,13080,14880,14640,14600,14480,14960,13520,14760,14200,14200,13200,13960,13120,13320,960,75360,,,,,,,,,,,,
12560,13080,11320,12760,13480,13160,16160,14040,15400,13080,14040,13920,14840,13000,14560,13920,14400,13120,14600,13120,14360,13080,1040,66200,,,,,,,,,,,,
13040,13280,13360,14240,13760,14040,14040,14200,13840,14480,11840,18080,14160,14680,13920,14280,15040,15920,13200,14560,16480,13640,920,76840,,,,,,,,,,,,
13680,12520,14480,13400,14520,14560,13720,13400,13000,14160,16080,13760,15440,12640,15400,13680,13600,13360,15080,12200,13600,12840,760,70800,,,,,,,,,,,,
13560,13120,14240,14640,14320,14040,14120,14880,13720,14960,13920,14840,13480,14240,13520,15760,14080,14440,13320,16440,13120,14080,1000,83480,,,,,,,,,,,,
12920,13280,13360,13280,14160,13080,14600,13640,11840,14320,14040,14480,13880,13680,13480,14600,15240,13120,12760,24640,8960,13560,1040,72360,,,,,,,,,,,,
13760,13480,13480,15280,14080,13000,14720,14960,14440,14760,13720,14520,13680,14760,13720,15760,14160,14360,17960,14920,13320,17840,1000,77560,,,,,,,,,,,,
13640,12800,14400,14320,12560,14440,14040,9920,14680,14320,14560,14720,14640,13960,15640,13880,14880,13480,14840,14080,14520,12440,800,68520,,,,,,,,,,,,
13080,13160,13240,14080,13360,14320,15600,14760,12560,14400,12520,14800,11640,14960,13200,13160,12960,14280,12960,14800,13080,12480,760,77200,,,,,,,,,,,,
12840,13000,13080,13040,14200,13760,11400,14360,13560,12240,13720,13200,14640,13000,14280,13320,13720,12840,14600,12320,9160,11920,760,67080,,,,,,,,,,,,
11280,12640,11120,12720,13800,12680,12600,12960,12640,13000,12880,13240,13440,13840,11920,13640,12880,13840,12040,13440,11880,11600,760,81680,,,,,,,,,,,,
12440,10800,13240,12800,12680,11840,13880,12920,13600,12240,13760,12120,13760,13080,14720,12400,13680,12120,14240,12200,9160,12880,840,67320,,,,,,,,,,,,
11200,11960,11440,13040,13400,13720,13960,15400,12640,12840,12560,18640,13400,13840,13520,14160,13800,12800,13400,13240,11480,12000,720,75560,,,,,,,,,,,,
10360,11240,10120,11000,12360,11960,11800,13960,13240,25040,11960,11560,11040,11360,13640,11600,12600,11840,12520,12000,12160,10320,800,69480,,,,,,,,,,,,
Basic,assay,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,ID,,,,,,2754,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Started,,,,,,7/26/2023,3,13,42,PM,,,,,,,,,,,,,,,,,,,,,,,,
