,,,,,,,,,,,,,,,,Plate,information,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,,,,,,,,
1,1,,14.41,21.98,21.41,43.9,45.5,21.77,22.09,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,8/31/2023,12,28,02,PM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,12,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,17760,19760,22440,9880,18520,19280,21200,18600,17160,19680,17200,17120,17960,18160,18080,26840,8720,12120,14320,16160,14960,3160,2240,289640,,,,,,,,,,,,,,,,,,
B,16120,19720,17480,17960,18360,18160,21440,18520,47560,17800,16000,18080,14280,17280,16280,15600,16120,14920,41240,23720,18560,13160,3400,409400,,,,,,,,,,,,,,,,,,
C,18960,20000,19160,20520,18400,18520,20120,20600,17560,19360,17760,12760,16920,17520,23760,17640,31560,16200,15240,15640,15120,16480,3080,395400,,,,,,,,,,,,,,,,,,
D,17760,26360,17560,19080,18160,32800,47040,18200,15120,17000,18280,11920,17200,17880,15120,19320,18800,17000,19000,17160,15560,13040,2000,257480,,,,,,,,,,,,,,,,,,
E,17960,22000,19320,19040,13080,17360,20840,19600,17880,17720,17640,17120,16440,15880,32520,14680,16040,20720,3240,15760,15160,13960,2440,298040,,,,,,,,,,,,,,,,,,
F,16960,17000,17440,18680,15480,17080,18280,17760,18240,16560,17200,19320,17000,28280,16880,18920,14080,18520,16840,15920,16680,14800,2160,265560,,,,,,,,,,,,,,,,,,
G,18960,18640,20200,9080,19480,23840,14720,18000,15720,16400,14680,17560,14720,18400,29120,16720,1520,16760,15480,16280,10360,15520,2200,293920,,,,,,,,,,,,,,,,,,
H,17360,15640,17520,17520,17560,16360,15560,18280,21720,15480,17120,9280,17920,17560,17440,16480,16920,17240,17040,12640,16160,27440,2160,276600,,,,,,,,,,,,,,,,,,
I,18840,18640,19200,17640,19480,15880,17960,13200,16440,15960,17400,18560,33760,17600,24760,10680,17800,39080,17280,16000,16200,35840,1800,222400,,,,,,,,,,,,,,,,,,
J,22600,18080,18120,17240,17560,7880,17160,17120,18040,13000,15440,17200,17040,18080,17120,14240,17320,15960,21760,16040,10400,10960,2400,272280,,,,,,,,,,,,,,,,,,
K,19840,18720,20680,17600,91000,18680,16240,24040,17200,18440,8440,18520,16320,19440,17720,17320,18520,17080,15560,16840,15760,14840,2280,255840,,,,,,,,,,,,,,,,,,
L,19120,18800,19640,13800,7040,12560,10960,33240,19520,14160,15520,15920,18880,15720,19000,17120,16040,13440,14480,13880,15800,13640,2320,266160,,,,,,,,,,,,,,,,,,
M,18200,17640,18480,16680,18000,35600,18400,15560,16960,16760,16720,11520,51680,17880,15480,17920,16000,22240,17120,14360,15560,12280,1720,215040,,,,,,,,,,,,,,,,,,
N,20280,19160,17560,18920,15600,16600,16720,17320,17440,17000,14320,14520,19120,15560,15680,16520,17600,32000,17040,15680,13880,15000,2240,231600,,,,,,,,,,,,,,,,,,
O,21160,21000,23960,25840,12800,21280,15040,21760,19040,17400,18120,18040,10120,14720,46280,18760,18360,18200,17800,19880,14360,14280,2400,285720,,,,,,,,,,,,,,,,,,
P,36760,23160,22120,18840,20480,36000,20920,18440,20560,19360,29440,18080,17440,16240,22480,192240,17680,16720,16360,14320,10120,27680,2520,240400,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic,assay,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,ID,,,,,,2986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Started,,,,,,8/31/2023,12,26,30,PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Finished,,,,,,8/31/2023,12,28,17,PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
