,,,,,,,,,,,,,,,,Plate,information,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,,,,,,,,
1,1,,14.37,22.57,22.69,43.3,43.7,22.85,22.19,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,8/30/2023,2,31,49,PM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,8,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,14480,18960,13920,11840,55800,16040,11560,13400,15120,15680,18000,14000,20520,14760,33520,37920,24840,15760,14440,14680,7200,51400,1360,185240,,,,,,,,,,,,,,,,,,
B,21640,15640,17160,12080,15200,14680,34560,15280,19040,19720,14840,35280,19600,14560,14840,14960,16120,14920,13800,13560,15720,19080,1880,289200,,,,,,,,,,,,,,,,,,
C,28840,24080,12800,13600,14160,14360,11480,14360,14280,22920,20520,16120,13640,23040,15400,15040,27720,14600,14440,23000,12200,12880,1200,181840,,,,,,,,,,,,,,,,,,
D,19720,22200,13240,14400,13200,38960,22520,23240,31720,13560,14840,39960,58000,13200,22280,14760,14200,22760,13960,28640,13800,12560,1200,179480,,,,,,,,,,,,,,,,,,
E,12400,21040,16800,17000,14920,16120,13560,19040,5920,15320,36560,14720,59280,16360,22400,20560,12760,25640,14920,12840,12680,13760,1600,276800,,,,,,,,,,,,,,,,,,
F,13400,15240,30000,14440,40080,19800,32080,30480,21440,46680,23360,29840,34680,8040,15960,14640,14120,15680,67600,15600,13120,13600,1440,193480,,,,,,,,,,,,,,,,,,
G,26880,14080,12280,34520,15080,14960,14760,10120,17240,13200,13960,21640,18240,15080,16520,11440,14360,15600,13160,13120,12000,12080,1200,184640,,,,,,,,,,,,,,,,,,
H,13760,14160,13720,50320,13520,11600,15760,15240,13680,13240,23040,10880,13640,13720,21080,14520,13600,10200,33160,13960,13240,14080,1280,189080,,,,,,,,,,,,,,,,,,
I,12840,22000,25720,14280,11680,14920,14440,36880,26800,15080,14600,39840,9720,13360,18480,14600,13920,13680,17280,14240,25440,12440,1320,190800,,,,,,,,,,,,,,,,,,
J,12760,29600,21160,8840,6080,12480,17000,25920,14600,14040,15320,27040,15280,15520,24080,13360,4360,14400,12960,17400,15680,12360,1200,180720,,,,,,,,,,,,,,,,,,
K,11800,14200,13040,14760,14720,22880,13520,12920,14880,33760,15040,13760,13560,14280,44680,13800,14640,14920,13880,21200,10920,12520,1000,172440,,,,,,,,,,,,,,,,,,
L,13000,13160,12200,23360,14960,14520,8920,12320,12880,26160,13120,13880,12000,12920,15280,15520,16080,14680,14080,14080,12560,12520,1160,177920,,,,,,,,,,,,,,,,,,
M,12400,12960,14400,25360,22480,12040,12720,10200,13920,14840,17520,28080,22960,13520,13480,13840,13480,12560,19000,20040,12760,12000,1000,161600,,,,,,,,,,,,,,,,,,
N,13760,12920,14960,14520,13080,14120,9360,11200,13560,14240,31720,13520,16640,12400,14600,28040,13200,18640,9880,11640,10040,24280,1000,175080,,,,,,,,,,,,,,,,,,
O,13400,12680,26080,13800,17200,20360,32800,14440,19000,11960,15920,14440,13120,14320,13320,12880,15440,1419840,17800,13760,12840,12600,1160,153640,,,,,,,,,,,,,,,,,,
P,22520,10160,11480,12240,15640,12320,10920,13680,30960,28440,16120,10280,12840,12360,13440,12200,13280,18440,11680,12560,12640,12680,1080,194400,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic,assay,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,ID,,,,,,2978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Started,,,,,,8/30/2023,2,30,16,PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Finished,,,,,,8/30/2023,2,32,04,PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
