,,,,,,,,,,,,,,,,Plate,information,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,,,,,,,,
1,1,,14.41,21.69,21.61,45.6,44.8,21.97,22.19,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,8/31/2023,12,40,36,PM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,16,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,11680,14720,13520,12600,27960,3368160,27960,12920,14720,12800,14360,14600,12920,12880,13880,14240,14480,12520,15920,13840,21600,12160,1920,187520,,,,,,,,,,,,,,,,,,
B,12600,13560,14280,13320,1600,28320,12400,13000,12840,12720,14080,13080,13600,14680,14960,13560,13040,12960,13760,12840,12240,12080,1880,228200,,,,,,,,,,,,,,,,,,
C,12760,13160,14800,26680,13680,13880,13080,14120,13560,15200,22880,13200,12240,13560,13320,19920,13720,13960,14160,14520,14120,13240,1560,179920,,,,,,,,,,,,,,,,,,
D,12080,13360,12240,13920,13240,13920,16640,13480,13920,12640,14480,12920,13880,14560,13520,13800,13360,14200,14240,13320,12680,13080,1800,219680,,,,,,,,,,,,,,,,,,
E,12560,11880,12960,12360,28080,12640,14040,13880,14800,14880,12520,12880,13200,14080,12720,13400,15640,14520,13040,14040,14240,12160,1880,220480,,,,,,,,,,,,,,,,,,
F,11080,12520,12000,13200,13000,12840,12360,31720,12880,12840,13640,14480,13560,13240,14200,13880,14120,14360,12680,12640,13720,12400,2080,225280,,,,,,,,,,,,,,,,,,
G,19120,13360,13120,13600,14880,14800,13840,13760,13720,13600,13720,14400,13600,14640,13160,14120,16400,13920,13640,13000,13480,12640,2040,234640,,,,,,,,,,,,,,,,,,
H,11720,12120,13400,13320,12920,13440,12160,11920,13040,13800,14320,14400,14560,13000,15000,13120,14160,14240,13080,13040,15280,11640,1720,223040,,,,,,,,,,,,,,,,,,
I,13280,12960,13480,14400,13320,15560,14480,12880,14760,14800,13360,14120,15160,13320,13800,13880,16680,14720,14360,14000,12640,12560,1800,204480,,,,,,,,,,,,,,,,,,
J,12280,12360,13600,15080,14000,14600,13400,14200,15120,13040,14680,14440,13760,15400,13880,13960,13480,14520,14160,12360,12680,13800,2280,286040,,,,,,,,,,,,,,,,,,
K,14080,14480,14480,13800,14640,15320,13600,14200,15160,14120,14160,14200,14280,14040,15200,16840,15240,15160,14320,13680,13680,13960,1800,202600,,,,,,,,,,,,,,,,,,
L,14080,13960,14280,13200,12760,13800,14840,14320,14200,13720,13360,14280,14640,13600,14160,14400,15240,15200,15080,14360,12600,10640,1680,216200,,,,,,,,,,,,,,,,,,
M,14320,13880,14240,14440,14480,15640,14520,15360,14400,13720,13440,16480,14920,13440,14120,15040,14880,14760,12760,12800,12640,13680,1360,168640,,,,,,,,,,,,,,,,,,
N,14360,14520,14760,15880,16080,16200,14360,13520,15120,14480,15520,14240,13880,15240,13880,14520,14560,14000,14680,13440,13280,13240,1640,165960,,,,,,,,,,,,,,,,,,
O,16520,15800,17400,20360,19360,18120,44120,17960,14600,14720,16520,19600,15600,14960,15040,14160,15360,13680,14840,13280,13360,13520,1960,210360,,,,,,,,,,,,,,,,,,
P,17280,21480,24480,25240,63080,22480,23280,20160,19800,16600,16640,14880,16040,15120,15360,15600,15480,13800,13840,32840,12880,13040,1720,204560,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic,assay,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,ID,,,,,,2991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Started,,,,,,8/31/2023,12,39,04,PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Finished,,,,,,8/31/2023,12,40,53,PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
