,,,,,,,,,,,,,,,,Plate,information,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,,,,,,,,
1,1,,14.41,20.7,20.63,46.9,46.2,20.99,21.4,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,8/30/2023,2,06,51,PM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,60,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,14760,25200,15000,17080,17960,31520,17440,18240,19520,26600,19200,36600,20680,66120,28840,24280,38440,12120,30120,31720,58560,65480,1760,250080,,,,,,,,,,,,,,,,,,
B,23520,19120,18720,18000,23960,16000,15560,60280,19240,21440,21720,20800,21680,25200,19920,22240,20600,21640,52160,14600,25400,26640,1800,261160,,,,,,,,,,,,,,,,,,
C,14640,15520,15040,9840,17040,15640,30680,27720,43720,13240,17560,18240,18600,17040,19760,11680,22920,17360,20480,20400,21920,37600,1640,232280,,,,,,,,,,,,,,,,,,
D,16640,16240,17320,18640,16640,53840,18320,18520,24240,64560,23160,26480,42680,18040,10840,19200,21680,25720,17680,24720,37800,44440,1640,222440,,,,,,,,,,,,,,,,,,
E,13720,15280,16720,15840,56280,43240,33160,19080,45080,13000,16880,16480,16960,21640,31160,17000,16280,16960,17560,19000,15400,26800,1600,215480,,,,,,,,,,,,,,,,,,
F,17680,17040,22800,21880,20600,20000,42400,19720,28400,21320,18720,16280,20840,33840,18760,20440,20160,25000,27320,21520,22280,12320,1480,204240,,,,,,,,,,,,,,,,,,
G,13360,13040,14920,14240,16800,15520,14920,15200,16760,47120,18920,14960,18120,17040,16800,14440,15040,16200,11520,19080,19960,23720,1360,201640,,,,,,,,,,,,,,,,,,
H,17320,18400,18400,17160,27160,20080,24600,18840,18440,17920,18360,60200,19400,13840,55560,18880,18600,17240,17200,16280,15360,16520,1680,240720,,,,,,,,,,,,,,,,,,
I,18960,27560,45000,17760,17160,25240,23480,15680,16840,16240,2000,14480,17240,8040,17680,5040,32280,14280,11800,15440,9320,16480,1480,211920,,,,,,,,,,,,,,,,,,
J,18280,19000,20160,14440,36200,11520,19800,16200,16640,16360,17680,7120,47400,17920,35960,18160,43760,17480,51000,16040,15360,32480,1520,213360,,,,,,,,,,,,,,,,,,
K,14640,15560,15240,16440,16200,30200,27320,33120,15240,2040,15680,16840,20200,14760,36440,14760,20400,16840,15080,15920,27440,24080,1480,217200,,,,,,,,,,,,,,,,,,
L,17760,33760,20920,17480,16600,15880,34520,35480,16680,21880,22200,17440,16320,37840,18040,16960,16960,16360,18000,16600,15960,16880,1400,197400,,,,,,,,,,,,,,,,,,
M,38760,29400,14280,14880,15800,15080,36120,15640,13840,25880,22760,14600,14240,14880,15040,22520,16480,39120,15240,15320,10960,48160,1520,190720,,,,,,,,,,,,,,,,,,
N,19880,44320,14400,17800,19480,12760,17480,19000,9880,55040,17480,17000,16560,46040,18920,43480,14920,37840,29480,18040,20640,16400,1440,192080,,,,,,,,,,,,,,,,,,
O,14880,14720,16800,14920,15400,3400,12680,21280,16600,14960,16120,23480,16440,15880,15720,15080,18320,40120,13800,17360,13360,9200,1280,176640,,,,,,,,,,,,,,,,,,
P,17760,29480,51040,19360,16960,17920,17840,18240,18000,16640,17240,16160,15440,16200,17880,15000,16280,14640,17800,17640,33560,18400,1640,173120,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic,assay,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,ID,,,,,,2966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Started,,,,,,8/30/2023,2,05,19,PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Finished,,,,,,8/30/2023,2,07,08,PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
