,Unnamed: 0,Plate information ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
0,0,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,
1,1,1,1,5035,,,,,,,,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,5/26/2023 7:05:27 PM,,,,,,,,,,,,,
2,2,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Background information,,,,,,,,,,,,,,,,,,,,,,,,
4,4,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
5,5,1,Jez US LUM 384 (cps),0,1420,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
6,6,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,
8,8,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
9,9,A,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
10,10,B,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
11,11,C,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
12,12,D,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
13,13,E,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
14,14,F,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
15,15,G,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
16,16,H,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
17,17,I,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
18,18,J,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
19,19,K,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
20,20,L,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
21,21,M,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
22,22,N,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
23,23,O,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
24,24,P,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
25,25,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
27,27,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,
28,28,1,1,5035,14.01,17.9,17.92,55.4,55.4,18.39,18.41,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,5/26/2023 7:05:27 PM,,,,,,,,
29,29,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,Background information,,,,,,,,,,,,,,,,,,,,,,,,
31,31,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
32,32,1,Jez US LUM 384 (cps),0,1420,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
33,33,,,,,,,,,,,,,,,,,,,,,,,,,
34,34,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,
35,35,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
36,36,A,-0.3118121729625151,-0.3249626544062726,-0.26128468933072585,-0.3357053012194829,-0.21160920872205327,-0.2067194522415575,-0.2753612610170015,-0.16560104547375243,-0.3544123241183492,-0.30829303004094627,-0.2166100960316511,-0.37956493510514167,-0.2571358050442446,-0.2099792898952213,-0.25128291471153,-0.27699117984383337,-0.25576519148531773,-0.1810852743286557,-0.3080707683827419,-0.1647490424506358,-0.31655375500420796,-0.2664337510791267,3.115388509329186,2.7075013229145
37,37,B,-0.4271289299608729,-0.19705107010966824,-0.26906384736787814,-0.3743047425276387,-0.35055978870947374,-0.31551653393258766,-0.29351262977035686,-0.34037279604177434,-0.43594530906964557,-0.33207502746881185,-0.41497862597903507,-0.33118598083599443,-0.375341963599259,-0.34389193896334325,-0.4503552732432277,-0.36019112723166236,-0.24239244838335594,-0.27302751360585575,-0.24735629208325316,-0.21034972599222854,-0.3637102701532312,-0.31759097607582826,3.731905305578357,2.825374088982208
38,38,C,-0.28477033788098566,-0.18919782485311443,-0.26161808181803237,-0.22961240303660577,-0.36211739493610007,-0.1878642549038884,-0.21338730198768802,-0.8964714648690623,-0.32955606200916254,-0.2825847649086429,-0.4044582408240291,-0.31462748729977025,-0.29103070792040825,-0.34363263369543817,-0.25120882749212853,-0.2367618197088457,-0.322628906995127,-0.3128493940341355,-0.4386865361874992,-0.31351617900874845,-0.38037989451855764,-0.26698940522463754,3.870411362249369,3.0050726396404266
39,39,D,-0.24943073422649376,-0.23042736245002168,-0.10766483990181816,-0.09477366372596567,-0.19353192718809936,-0.13896669009893095,-0.2823254596407378,-0.28954896353237924,-0.32748161986592195,-0.24761559735115823,-0.5115142728591251,-0.29906917122546567,-0.2924754086987365,-0.2708048970238123,-0.23298337151937173,-0.31166399852371224,-0.81871692810724,-0.2688786293193745,-0.22927901054929925,-0.3329270304919285,-0.6412780376407659,-0.2815845874467233,3.3586168506241485,2.8955717293650824
40,40,E,-0.23153867074104353,-0.1683422725916061,-0.25206083051524525,0.016690557863516604,-0.3543382368989478,-0.25887685470017874,-0.3305191958613814,-0.307922593943939,-0.25306100797716485,-0.20305213488118573,-0.2938460222576634,-0.21664713964135196,-0.40008709487934346,-0.29810603737324676,-0.18823469100089563,-0.2911047951398097,-0.3470776893976056,-0.27362021136106734,-0.25883981109047793,-0.21975880285621288,-0.3455959450095766,-0.1969769828902668,4.346051310806682,2.9853283956699395
41,41,F,-0.24013278819161166,-0.1273720402626039,-0.1290019590894359,-0.04198651990243227,-0.46094974561763513,-0.3171834963691203,-0.5601154887864767,-0.13652181185868303,-0.320998988168295,-0.23991052653340733,-0.2387621746326849,-0.22468560294640924,-0.3278890995726299,-0.37923154261783515,-0.325592395771185,-0.316961234710916,-0.24609680935342843,-0.18823469100089563,-0.23331676400667825,-0.2719532489245347,-0.3708596868254712,-0.3128123504244347,3.449558912439429,2.9863285731318596
42,42,G,-0.36337687766592475,-0.2772875287214392,-0.2168323576898556,-0.2216850705606505,-0.30047682839409323,-0.23642842722153917,-0.2394289596072979,-0.21205373203846198,-0.3108119955005956,-0.29658724937551706,-0.4477992641738776,-0.31299756847293836,-0.4553191169431249,-0.33670547868140255,-0.3754160508186604,-0.4081255581844008,-0.39108549772206724,-0.392604285719797,-0.19760672425517908,-0.24065139872742194,-0.3338531207344467,-0.3649327092733552,4.008102459506965,3.1171295589851202
43,43,H,-0.34289176150142364,-0.31414592037366085,-0.19319853470079285,-0.17378768321761273,-0.28662251836602193,-0.31370139705725214,-0.31140469325580716,-0.24565228603701975,-0.2935496733800576,-0.35252310002361226,-0.30325509912164755,-0.860761425117563,-0.4125707913484879,-0.3137384406669529,-0.2991432584448671,-0.25720989226364604,-0.259247290797186,-0.21523948247272434,-0.265174268349302,-0.3324454635658191,-0.7574097540525395,-0.29214201621143,3.765503859576915,3.0490063607454863
44,44,I,-0.33759452531421996,-0.23187206322835002,-0.18093709988985265,0.03636071461460178,-0.27676891818562904,-0.2683970623932651,-0.3237031716764479,-0.19508775879552975,-0.31985063626757254,-0.31251600154682896,-0.15189490988448415,-0.21031268238252782,-0.320591508461587,-0.354708672995955,-0.3896778405534397,-0.2553947553883105,-0.22575986762773037,-0.22175915778005195,-0.2885487860704597,-0.2509495222242235,-0.5614490587357028,-0.19149452865455943,3.5228311724274635,2.9987011387719016
45,45,J,-0.21572104939883374,-0.25480205763309893,-0.31073790828119413,0.056327220243292744,-0.38026876368945545,-0.23713225580585293,-0.41872003055880824,-0.14470844960254337,-0.28636321309811685,-0.2548761448525004,-0.2931051500636489,-0.28851174246075895,-0.325444221332382,-0.44120550164714856,-0.2907343590428024,-0.2205737622696288,-0.36737758751360305,-0.26213669235384257,-0.259247290797186,-0.30421823297386646,-0.42242439152888084,-0.21023859516312637,4.109009252331741,3.057526390976653
46,46,K,-0.27988058140049,-0.2852889484167958,-0.2176473171032715,0.05762374658281807,-0.16860157785951116,-0.2252042134822194,-0.3914559338190745,-0.25217196134434744,-0.3088486841864571,-0.15196899710388562,-0.12703864777529741,-0.24598567852432626,-0.3200358543160762,-0.40093909790246013,-0.13315084337591707,-0.25043091168841336,-0.20027386415363133,-0.2235372510456868,-0.22638960899264268,-0.1968288084514639,-0.3353719087321764,-0.22931605415899997,3.792879087145751,3.4381494806516057
47,47,L,-0.30870050974765423,-0.31855410992804717,-0.3516340533907948,-0.20320030931998861,-0.44365037988739636,-0.21635079076374603,-0.03450371074288569,-0.09781123972142514,-0.27510195574909635,-0.2376879099513639,-0.20464501009831684,-0.8894702226356253,-0.37478630945374813,-0.25265352827045684,-0.5867128005515974,-0.3280372740114328,-0.35793146703991807,-0.2652853991784042,-0.2886599168995619,-0.24717107403474955,-0.29969891259037795,-0.2641740908873824,3.729312252899306,2.8585281196643573
48,48,M,-0.34129888628429245,-0.3188875024153537,-0.1768252592130722,-0.19649541596415737,-0.2584693749934707,-0.2491343853488879,-0.428869979616807,-0.34448463671855484,-0.3310007627874908,-0.4267955374735664,-0.46861777282568523,-0.28162163105642407,-0.4159417598312539,-0.2947350688904808,-0.45098501460814,-0.3219991656302146,-0.3085523353088513,-0.4034951069718102,-0.3651549709315595,-0.3007361336619983,-0.2629886953769592,-0.2044227484401125,3.093162343508751,2.9463585182647765
49,49,N,-0.3046257126805744,-0.4357230474114412,-0.3155535775422884,-0.22368542548448972,-0.2985135170799547,-0.24439280330719515,-0.21935132314950478,-0.19056843841204135,-0.27006402482979774,-0.3192579385123609,-0.22994579552391228,-0.3252960468935791,-0.3840101682692287,-0.259506596065091,-0.326666660452506,-0.12181549880749525,-0.26291460815755774,-0.24465210857510022,-0.2415404453602393,-0.13722564044299693,-0.41627515231856044,-0.32129533704590085,3.0204086940565267,2.823484864887471
50,50,O,-0.34596638110658384,-0.2793619708646798,-0.16974992976023373,-0.3240365641637544,-0.30195857278212224,-0.2758428279431109,-0.17852926525930563,-0.1669346154229786,-0.296327944107612,-0.24817125149666908,-0.41705306812227566,-0.3112565188170043,-0.2809918896915117,-0.3492262187602476,-0.27265707750884854,-0.23053849327912385,-0.3708596868254712,-0.23009396996271517,-0.2741017782871768,-0.17949239911152445,-0.27995466861989143,-0.36119130469358196,3.530721461293718,2.6333029726839476
51,51,P,-0.3971976933226869,-0.28225137242133636,-0.2723607286312427,-0.9056953236845428,-0.18664181578376438,-0.25450570875549317,-0.33107485000689224,-0.3045886690708737,-0.4531335439707821,-0.3440771570118469,-0.3061445006783041,-0.18419693754351663,-0.3528564925109188,-0.3183318482698428,-0.4020133625837812,-0.8632433469675117,-0.3775275365716018,-0.34733699466551066,-0.2750278685296949,-0.21168329594145474,-0.5261464986909116,-0.26787845185745496,3.0568225623923397,2.5329888776143834
52,52,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
54,54,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,
55,55,2,1,5036,,,,,,,,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,5/26/2023 7:07:02 PM,,,,,,,,,,,,,
56,56,,,,,,,,,,,,,,,,,,,,,,,,,
57,57,Background information,,,,,,,,,,,,,,,,,,,,,,,,
58,58,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
59,59,2,Jez US LUM 384 (cps),0,512,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
60,60,,,,,,,,,,,,,,,,,,,,,,,,,
61,61,Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,
62,62,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
63,63,A,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
64,64,B,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
65,65,C,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
66,66,D,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
67,67,E,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
68,68,F,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
69,69,G,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
70,70,H,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
71,71,I,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
72,72,J,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
73,73,K,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
74,74,L,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
75,75,M,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
76,76,N,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
77,77,O,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
78,78,P,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
79,79,,,,,,,,,,,,,,,,,,,,,,,,,
80,80,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
81,81,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,
82,82,2,1,5036,14.01,17.9,17.92,55.4,55.7,18.39,18.41,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,5/26/2023 7:07:02 PM,,,,,,,,
83,83,,,,,,,,,,,,,,,,,,,,,,,,,
84,84,Background information,,,,,,,,,,,,,,,,,,,,,,,,
